id,sequence,description,name,invoice_label,price_include,amount,amount_type,type_tax_use,tax_group_id,active,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent,name@fr,description@fr
l10n_dz_vat_sale_19_prod,1,19% Goods Production,19% G Prod,19%,False,19.0,percent,sale,l10n_dz_tax_group_vat_19,,base,invoice,+E3B21_taxable_turnover,,,19% B Prod.,19% Production de biens
,,,,,,,,,,,tax,invoice,+E3B21_balance,l10n_dz_4457,,,
,,,,,,,,,,,base,refund,-E3B21_taxable_turnover,,,,
,,,,,,,,,,,tax,refund,-E3B21_balance,l10n_dz_4457,,,
l10n_dz_vat_sale_0_prod,,0% Goods Production,0% G Prod,0%,False,0.0,percent,sale,l10n_dz_tax_group_vat_0,,base,invoice,+E3B21_exempt_turnover,,,0% B Prod.,0% Production de biens
,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,base,refund,-E3B21_exempt_turnover,,,,
,,,,,,,,,,,tax,refund,,,,,
l10n_dz_vat_sale_9_g,,"9% Goods, Products, Commodities",9% G,9%,False,9.0,percent,sale,l10n_dz_tax_group_vat_9,,base,invoice,+E3B11_taxable_turnover,,,9% B,"9% Biens, Produits et Denrées"
,,,,,,,,,,,tax,invoice,+E3B11_balance,l10n_dz_4457,,,
,,,,,,,,,,,base,refund,-E3B11_taxable_turnover,,,,
,,,,,,,,,,,tax,refund,-E3B11_balance,l10n_dz_4457,,,
l10n_dz_vat_sale_0_g,,"0% Goods, Products, Commodities",0% G,0%,False,0.0,percent,sale,l10n_dz_tax_group_vat_0,,base,invoice,+E3B11_exempt_turnover,,,0% B,"0% Biens, Produits et Denrées"
,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,base,refund,-E3B11_exempt_turnover,,,,
,,,,,,,,,,,tax,refund,,,,,
l10n_dz_vat_sale_9_s,,9% Services,9% S,9%,False,9.0,percent,sale,l10n_dz_tax_group_vat_9,,base,invoice,+E3B12_taxable_turnover,,,9% S,
,,,,,,,,,,,tax,invoice,+E3B12_balance,l10n_dz_4457,,,
,,,,,,,,,,,base,refund,-E3B12_taxable_turnover,,,,
,,,,,,,,,,,tax,refund,-E3B12_balance,l10n_dz_4457,,,
