"id","name","sequence","country_id","preceding_subtotal","tax_receivable_account_id","tax_payable_account_id"
"tax_group_pension_fund","Fondi Pensione","0","base.it","Fondi Pensione Esclusi","2609","2609"
"tax_group_enasarco","Enasarco","999","base.it","ENASARCO Escluso","2610","2610"
"tax_group_withholding","Ritenute","1000","base.it","Totale Ritenute Escluse","2611","2611"
