"id","code_prefix_start","code_prefix_end","name","name@da"
"dk_group_1001","1010","1389","Net revenue","Nettoomsætning"
"dk_group_1400","1410","1489","Change in inventories of finished goods and work in progress","Ændring i lagre af færdigvarer og varer under fremstilling"
"dk_group_1495","1496","1498","Own work capitalized","Arbejde udført for egen regning og opført under aktiver"
"dk_group_1500","1510","1589","Other operating income","Andre driftsindtægter"
"dk_group_1600","1610","1809","Costs of raw materials and consumables","Omkostninger til råvarer og hjælpematerialer"
"dk_group_1820","183","282","Other external expenses","Andre eksterne omkostninger"
"dk_group_1821","1830","2009","Sales costs","Salgsomkostninger"
"dk_group_2020","2030","2209","Premises costs","Lokaleomkostninger"
"dk_group_2220","2230","2829","Administrative expenses","Administrationsomkostninger"
"dk_group_2841","284","298","Staff costs","Personaleomkostninger"
"dk_group_2842","2845","2900","Wages and salaries","Gager og lønninger"
"dk_group_2906","2910","2925","Pensions","Pensioner"
"dk_group_2927","2928","2949","Other social security costs","Andre omkostninger til social sikring"
"dk_group_2991","3000","3099","Amortization, depreciation and impairment of tangible and intangible fixed assets","Af- og nedskrivninger af materielle og immaterielle anlægsaktiver"
"dk_group_3120","3130","3139","Write-down of current assets exceeding normal write-downs","Nedskrivning af omsætningsaktiver, som overstiger normale nedskrivninger"
"dk_group_3150","3160","3174","Other operating expenses","Andre driftsomkostninger"
"dk_group_3180","3181","3189","Fair value adjustment of investment properties","Værdireguleringer af investeringsejendomme"
"dk_group_3191","3193","3239","Income from investments in group enterprises and associates","Indtægter af kapitalandele i tilknyttede virksomheder og associerede virksomheder"
"dk_group_3251","3252","3259","Share of profit/loss from group enterprises","Resultatandele, der hidrører fra tilknyttede virksomheder"
"dk_group_3261","3262","3269","Share of profit/loss from associates","Resultatandele, der hidrører fra associerede virksomheder"
"dk_group_3271","3272","3279","Share of profit/loss from participating interests","Resultatandele, der hidrører fra kapitalinteresser"
"dk_group_3370","3380","3409","Income from other investments, securities and receivables that are fixed assets","Indtægter af andre kapitalandele, værdipapirer og tilgodehavender, der er anlægsaktiver"
"dk_group_3411","3440","3449","Other financial income from group enterprises","Andre finansielle indtægter fra tilknyttede virksomheder"
"dk_group_3451","3470","3539","Other financial income","Andre finansielle indtægter"
"dk_group_3541","3560","3569","Impairment of financial assets","Nedskrivning af finansielle aktiver"
"dk_group_3571","3590","3699","Miscellaneous financial expenses","Øvrige finansielle omkostninger"
"dk_group_3703","3740","3789","Tax on profit/loss for the year","Skat af årets resultat"
"dk_group_3791","3810","3819","Other taxes","Andre skatter"
"dk_group_5002","501","606","Fixed assets","Anlægsaktiver"
"dk_group_5003","5010","5139","Intangible fixed assets","Immaterielle anlægsaktiver"
"dk_group_5142","5160","5769","Tangible fixed assets","Materielle anlægsaktiver"
"dk_group_5772","5800","6069","Financial fixed assets","Finansielle anlægsaktiver"
"dk_group_6073","608","648","Current assets","Omsætningsaktiver"
"dk_group_6074","6080","6179","Inventories","Varebeholdninger"
"dk_group_6182","6190","6409","Receivables","Tilgodehavender"
"dk_group_6412","6420","6459","Securities and investments","Værdipapirer og kapitalandele"
"dk_group_6462","6470","6489","Cash and cash equivalents","Likvide beholdninger"
"dk_group_6501","6510","6969","Equity","Egenkapital"
"dk_group_6972","6985","7049","Provisions","Hensatte forpligtelser"
"dk_group_7052","7055","7269","Long-term liabilities","Langfristede gældsforpligtelser"
"dk_group_7280","7285","8079","Short-term liabilities","Kortfristede gældsforpligtelser"
