"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"pk_sales_tax_17","17%","sale","17.0","percent","Standard Sales Tax 17%","Standard Sales Tax 17%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_19_5","19.5% T","sale","19.5","percent","Sales Tax Telecommunication Services 19.5%","Sales Tax Telecommunication Services 19.5%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_17","17% S","sale","17.0","percent","Sales Tax Services 17%","Sales Tax Services 17%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_16","16% S","sale","16.0","percent","Sales Tax Services 16%","Sales Tax Services 16%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_16_punjab","16% S Pun","sale","16.0","percent","Standard Sales Service Tax Punjab 16%","Standard Sales Service Tax Punjab 16%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_16_ict","16% S ICT","sale","16.0","percent","Standard Sales Service Tax Islamabad Capital Territory 16%","Standard Sales Service Tax Islamabad Capital Territory 16%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_16_ajk","16% S AJK","sale","16.0","percent","Standard Sales Service Tax Azad Jammu and Kashmir 16%","Standard Sales Service Tax Azad Jammu and Kashmir 16%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_15","15% S","sale","15.0","percent","Sales Tax Services 15%","Sales Tax Services 15%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_15_kp","15% S KP","sale","15.0","percent","Standard Sales Service Tax Khyber Pakhtunkhwa 15%","Standard Sales Service Tax Khyber Pakhtunkhwa 15%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_15_balochistan","15% S Balo","sale","15.0","percent","Standard Sales Service Tax Balochistan 15%","Standard Sales Service Tax Balochistan 15%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_13","13% S","sale","13.0","percent","Sales Tax Services 13%","Sales Tax Services 13%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_13_sindh","13% S Sindh","sale","13.0","percent","Standard Sales Tax Services 13% Sindh","Standard Sales Tax Services 13% Sindh","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_10","10% S","sale","10.0","percent","Sales Tax Services 10%","Sales Tax Services 10%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_8","8% S","sale","8.0","percent","Sales Tax Services 8%","Sales Tax Services 8%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_5","5% S","sale","5.0","percent","Sales Tax Services 5%","Sales Tax Services 5%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_3","3% S","sale","3.0","percent","Sales Tax Services 3%","Sales Tax Services 3%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_2","2% S","sale","2.0","percent","Sales Tax Services 2%","Sales Tax Services 2%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_1","1% S","sale","1.0","percent","Sales Tax Services 1%","Sales Tax Services 1%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
"pk_sales_tax_services_0","0% S","sale","0.0","percent","Sales Tax Services 0%","Sales Tax Services 0%","tax_group_taxes_sales","base","invoice",""
"","","","","","","","","tax","invoice","l10n_pk_2221005"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","l10n_pk_2221005"
