"id","name","name@ko_KR","country_id","auto_apply","sequence"
"l10n_kr_domestic","Domestic","국내 과세","base.kr","True","10"
"l10n_kr_overseas","Overseas (Export/Import)","해외 수출입","","True","20"
"l10n_kr_domestic_zr","Indirect Export","국내 간접수출","base.kr","False","30"
"l10n_kr_domestic_exempt","Domestic Exempt","면세 특례","base.kr","False","40"
