"id","name","country_id","name@ko_KR","preceding_subtotal","preceding_subtotal@ko_KR"
"tax_group_vat","VAT 10%","base.kr","부가세 10%","",""
"tax_group_zero_rate","VAT 0%","base.kr","영세율 0%","",""
"tax_group_exempt","Tax Exempt","base.kr","면세","",""
"tax_group_vat_dp","VAT DP","base.kr","부가세 의제매입","",""
"tax_group_vat_rp","VAT RP","base.kr","부가세 재활용","",""
"tax_group_sub_base","Subtract Base","base.kr","공급가액 차감","Before Deduction","차감 전 합계액"
