"id","method","method_number","method_period","method_progress_factor"
"l10n_kr_asset_no_depreciation","no_depreciation","0","12",""
"l10n_kr_asset_5_year_linear","linear","5","12",""
"l10n_kr_asset_20_year_linear","linear","20","12",""
"l10n_kr_asset_40_year_linear","linear","40","12",""
