id,name,name@es,country_id,tax_receivable_account_id,tax_payable_account_id,advance_tax_payment_account_id
iva_tax_group,VAT,IVA,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
iva_exempt_tax_group,Exempt,Exentos,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
no_iva_tax_group,Without VAT,Sin IVA,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
other_no_iva_tax_group,Other Without VAT,Otros Sin IVA,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
undeclared_iva_tax_group,Not Declared VAT,IVA no Declarado,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
it_tax_group,IT,IT,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
iue_ret_tax_group,IUE Retentions,Retenciones IUE,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
rc_iva_tax_group,RC-VAT,RC-IVA,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
ice_tax_group,ICE,ICE,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
discount_tax_group,Discounts,Descuentos,base.bo,l10n_bo_1140106,l10n_bo_2140199,l10n_bo_1140107
