"id","sequence","name","auto_apply","vat_required","country_id","name@es"
"l10n_bo_domestic","10","Domestic","1","1","base.bo","Nacional"
"l10n_bo_domestic_consumer","20","Domestic (Consumer)","1","","base.bo","Nacional (Consumidores)"
"l10n_bo_international","30","International","1","","","Internacional"
