"id","sequence","name","amount","amount_type","type_tax_use","include_base_amount","price_include","tax_group_id","is_base_affected","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@es"
"","","","","","","","","","","","tax","invoice","+Ret IT 13","l10n_bo_2137",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","-Ret IT 13","l10n_bo_2137",""
"l10n_bo_whh_services_it_expense","380","3% Whh. IT services gross-up (expense)","-3.5503","percent","none","","","tax_group_whh_services","","","base","invoice","","","3% Ret. IT servicios gross-up (gasto)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_52092",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_52092",""
"l10n_bo_whh_services_iue_tax","390","12.5% Whh. IUE services gross-up (tax)","14.7929","percent","none","","","tax_group_whh_services","","","base","invoice","+Ret IUE 13","","12.5% Ret. IUE servicios gross-up (tasa)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_2138",""
"","","","","","","","","","","","base","refund","-Ret IUE 13","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_2138",""
"l10n_bo_whh_services_iue_expense","400","12.5% Whh. IUE services gross-up (expense)","-14.7929","percent","none","","","tax_group_whh_services","","","base","invoice","","","12.5% Ret. IUE servicios gross-up (gasto)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_52093",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_52093",""
"l10n_bo_whh_services_purchase","410","15.5% Whh. IT+IUE services gross-up","","group","purchase","","","tax_group_whh_services","","l10n_bo_whh_services_it_tax,l10n_bo_whh_services_it_expense,l10n_bo_whh_services_iue_tax,l10n_bo_whh_services_iue_expense","","","","","15.5% Ret. IT+IUE servicios gross-up"
"l10n_bo_whh_goods_it_tax","420","3% Whh. IT goods gross-up (tax)","3.2609","percent","none","","","tax_group_whh_goods","","","base","invoice","","","3% Ret. IT bienes gross-up (tasa)"
"","","","","","","","","","","","tax","invoice","+Ret IT 13","l10n_bo_2137",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","-Ret IT 13","l10n_bo_2137",""
"l10n_bo_whh_goods_it_expense","430","3% Whh. IT goods gross-up (expense)","-3.2609","percent","none","","","tax_group_whh_goods","","","base","invoice","","","3% Ret. IT bienes gross-up (gasto)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_52092",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_52092",""
"l10n_bo_whh_goods_iue_tax","440","5% Whh. IUE goods gross-up (tax)","5.4348","percent","none","","","tax_group_whh_goods","","","base","invoice","+Ret IUE 26","","5% Ret. IUE bienes gross-up (tasa)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_2138",""
"","","","","","","","","","","","base","refund","-Ret IUE 26","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_2138",""
"l10n_bo_whh_goods_iue_expense","450","5% Whh. IUE goods gross-up (expense)","-5.4348","percent","none","","","tax_group_whh_goods","","","base","invoice","","","5% Ret. IUE bienes gross-up (gasto)"
"","","","","","","","","","","","tax","invoice","","l10n_bo_52093",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","","l10n_bo_52093",""
"l10n_bo_whh_goods_purchase","460","8% Whh. IT+IUE goods gross-up","","group","purchase","","","tax_group_whh_goods","","l10n_bo_whh_goods_it_tax,l10n_bo_whh_goods_it_expense,l10n_bo_whh_goods_iue_tax,l10n_bo_whh_goods_iue_expense","","","","","8% Ret. IT+IUE bienes gross-up"
