id,code,name,tax_category
eco_new_acti_011101,011101,CULTIVO DE TRIGO,1
eco_new_acti_011102,011102,CULTIVO DE MAÍZ,1
eco_new_acti_011103,011103,CULTIVO DE AVENA,1
eco_new_acti_011104,011104,CULTIVO DE CEBADA,1
eco_new_acti_011105,011105,"CULTIVO DE OTROS CEREALES (EXCEPTO TRIGO, MAÍZ, AVENA Y CEBADA)",1
eco_new_acti_011106,011106,CULTIVO DE POROTOS,1
eco_new_acti_011107,011107,CULTIVO DE LUPINO,1
eco_new_acti_011108,011108,CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO),1
eco_new_acti_011109,011109,CULTIVO DE SEMILLAS DE RAPS,1
eco_new_acti_011110,011110,CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL),1
eco_new_acti_011111,011111,"CULTIVO DE SEMILLAS DE CEREALES, LEGUMBRES Y OLEAGINOSAS (EXCEPTO SEMILLAS DE RAPS Y MARAVILLA)",1
eco_new_acti_011200,011200,CULTIVO DE ARROZ,1
eco_new_acti_011301,011301,CULTIVO DE PAPAS,1
eco_new_acti_011302,011302,CULTIVO DE CAMOTES,1
eco_new_acti_011303,011303,CULTIVO DE OTROS TUBÉRCULOS (EXCEPTO PAPAS Y CAMOTES),1
eco_new_acti_011304,011304,CULTIVO DE REMOLACHA AZUCARERA,1
eco_new_acti_011305,011305,CULTIVO DE SEMILLAS DE HORTALIZAS,1
eco_new_acti_011306,011306,CULTIVO DE HORTALIZAS Y MELONES,1
eco_new_acti_011400,011400,CULTIVO DE CAÑA DE AZÚCAR,1
eco_new_acti_011500,011500,CULTIVO DE TABACO,1
eco_new_acti_011600,011600,CULTIVO DE PLANTAS DE FIBRA,1
eco_new_acti_011901,011901,CULTIVO DE FLORES,1
eco_new_acti_011902,011902,CULTIVOS FORRAJEROS EN PRADERAS MEJORADAS O SEMBRADAS; CULTIVOS SUPLEMENTARIOS FORRAJEROS,1
eco_new_acti_011903,011903,CULTIVOS DE SEMILLAS DE FLORES; CULTIVO DE SEMILLAS DE PLANTAS FORRAJERAS,1
eco_new_acti_012111,012111,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE PISCO Y AGUARDIENTE,1
eco_new_acti_012112,012112,CULTIVO DE UVA DESTINADA A LA PRODUCCIÓN DE VINO,1
eco_new_acti_012120,012120,CULTIVO DE UVA PARA MESA,1
eco_new_acti_012200,012200,CULTIVO DE FRUTAS TROPICALES Y SUBTROPICALES (INCLUYE EL CULTIVO DE PALTAS),1
eco_new_acti_012300,012300,CULTIVO DE CÍTRICOS,1
eco_new_acti_012400,012400,CULTIVO DE FRUTAS DE PEPITA Y DE HUESO,1
eco_new_acti_012501,012501,CULTIVO DE SEMILLAS DE FRUTAS,1
eco_new_acti_012502,012502,CULTIVO DE OTROS FRUTOS Y NUECES DE ÁRBOLES Y ARBUSTOS,1
eco_new_acti_012600,012600,CULTIVO DE FRUTOS OLEAGINOSOS (INCLUYE EL CULTIVO DE ACEITUNAS),1
eco_new_acti_012700,012700,"CULTIVO DE PLANTAS CON LAS QUE SE PREPARAN BEBIDAS (INCLUYE EL CULTIVO DE CAFÉ, TÉ Y MATE)",1
eco_new_acti_012801,012801,CULTIVO DE ESPECIAS,1
eco_new_acti_012802,012802,"CULTIVO DE PLANTAS AROMÁTICAS, MEDICINALES Y FARMACÉUTICAS",1
eco_new_acti_012900,012900,CULTIVO DE OTRAS PLANTAS PERENNES,1
eco_new_acti_013000,013000,CULTIVO DE PLANTAS VIVAS INCLUIDA LA PRODUCCIÓN EN VIVEROS (EXCEPTO VIVEROS FORESTALES),1
eco_new_acti_014101,014101,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN LECHERA,1
eco_new_acti_014102,014102,CRÍA DE GANADO BOVINO PARA LA PRODUCCIÓN DE CARNE O COMO GANADO REPRODUCTOR,1
eco_new_acti_014200,014200,CRÍA DE CABALLOS Y OTROS EQUINOS,1
eco_new_acti_014300,014300,"CRÍA DE LLAMAS, ALPACAS, VICUÑAS, GUANACOS Y OTROS CAMÉLIDOS",1
eco_new_acti_014410,014410,CRÍA DE OVEJAS (OVINOS),1
eco_new_acti_014420,014420,CRÍA DE CABRAS (CAPRINOS),1
eco_new_acti_014500,014500,CRÍA DE CERDOS,1
eco_new_acti_014601,014601,CRÍA DE AVES DE CORRAL PARA LA PRODUCCIÓN DE CARNE,1
eco_new_acti_014602,014602,CRÍA DE AVES DE CORRAL PARA LA PRODUCCIÓN DE HUEVOS,1
eco_new_acti_014901,014901,APICULTURA,1
eco_new_acti_014909,014909,CRÍA DE OTROS ANIMALES N.C.P.,1
eco_new_acti_015000,015000,CULTIVO DE PRODUCTOS AGRÍCOLAS EN COMBINACIÓN CON LA CRÍA DE ANIMALES (EXPLOTACIÓN MIXTA),1
eco_new_acti_016100,016100,ACTIVIDADES DE APOYO A LA AGRICULTURA,1
eco_new_acti_016200,016200,ACTIVIDADES DE APOYO A LA GANADERÍA,1
eco_new_acti_016300,016300,ACTIVIDADES POSCOSECHA,1
eco_new_acti_016400,016400,TRATAMIENTO DE SEMILLAS PARA PROPAGACIÓN,1
eco_new_acti_017000,017000,CAZA ORDINARIA Y MEDIANTE TRAMPAS Y ACTIVIDADES DE SERVICIOS CONEXAS,1
eco_new_acti_021001,021001,EXPLOTACIÓN DE VIVEROS FORESTALES,1
eco_new_acti_021002,021002,SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES (EXCEPTO EXPLOTACIÓN DE VIVEROS FORESTALES),1
eco_new_acti_022000,022000,EXTRACCIÓN DE MADERA,1
eco_new_acti_023000,023000,RECOLECCIÓN DE PRODUCTOS FORESTALES DISTINTOS DE LA MADERA,1
eco_new_acti_024001,024001,SERVICIOS DE FORESTACIÓN A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,1
eco_new_acti_024002,024002,SERVICIOS DE CORTA DE MADERA A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,1
eco_new_acti_024003,024003,SERVICIOS DE EXTINCIÓN Y PREVENCIÓN DE INCENDIOS FORESTALES,1
eco_new_acti_024009,024009,OTROS SERVICIOS DE APOYO A LA SILVICULTURA N.C.P.,1
eco_new_acti_031110,031110,"PESCA MARÍTIMA INDUSTRIAL, EXCEPTO DE BARCOS FACTORÍA",1
eco_new_acti_031120,031120,PESCA MARÍTIMA ARTESANAL,1
eco_new_acti_031130,031130,RECOLECCIÓN Y EXTRACCIÓN DE PRODUCTOS MARINOS,1
eco_new_acti_031140,031140,SERVICIOS RELACIONADOS CON LA PESCA MARÍTIMA,1
eco_new_acti_031200,031200,PESCA DE AGUA DULCE,1
eco_new_acti_032110,032110,CULTIVO Y CRIANZA DE PECES MARINOS,1
eco_new_acti_032120,032120,"CULTIVO, REPRODUCCIÓN Y MANEJO DE ALGAS MARINAS",1
eco_new_acti_032130,032130,"REPRODUCCIÓN Y CRÍA DE MOLUSCOS, CRUSTÁCEOS Y GUSANOS MARINOS",1
eco_new_acti_032140,032140,SERVICIOS RELACIONADOS CON LA ACUICULTURA MARINA,1
eco_new_acti_032200,032200,ACUICULTURA DE AGUA DULCE,1
eco_new_acti_040000,040000,EXTRACCIÓN Y PROCESAMIENTO DE COBRE,1
eco_new_acti_051000,051000,EXTRACCIÓN DE CARBÓN DE PIEDRA,1
eco_new_acti_052000,052000,EXTRACCIÓN DE LIGNITO,1
eco_new_acti_061000,061000,EXTRACCIÓN DE PETRÓLEO CRUDO,1
eco_new_acti_062000,062000,EXTRACCIÓN DE GAS NATURAL,1
eco_new_acti_071000,071000,EXTRACCIÓN DE MINERALES DE HIERRO,1
eco_new_acti_072100,072100,EXTRACCIÓN DE MINERALES DE URANIO Y TORIO,1
eco_new_acti_072910,072910,EXTRACCIÓN DE ORO Y PLATA,1
eco_new_acti_072991,072991,EXTRACCIÓN DE ZINC Y PLOMO,1
eco_new_acti_072992,072992,EXTRACCIÓN DE MANGANESO,1
eco_new_acti_072999,072999,"EXTRACCIÓN DE OTROS MINERALES METALÍFEROS NO FERROSOS N.C.P. (EXCEPTO ZINC, PLOMO Y MANGANESO)",1
eco_new_acti_081000,081000,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA",1
eco_new_acti_089110,089110,EXTRACCIÓN Y PROCESAMIENTO DE LITIO,1
eco_new_acti_089190,089190,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS Y PRODUCTOS QUÍMICOS N.C.P.,1
