"id","name","country_id","preceding_subtotal"
"tax_group_0","VAT 0%","base.uk","Subtotal"
"tax_group_5","VAT 5%","base.uk","Subtotal"
"tax_group_175","VAT 17.5%","base.uk","Subtotal"
"tax_group_20","VAT 20%","base.uk","Subtotal"
