id,name
customs_regime_capital_goods,"Aquisição de Bens de Capital"
customs_regime_reidi,"REIDI"
customs_regime_renaval,"Renaval"
customs_regime_reporto,"Reporto"
customs_regime_international_aircraft,"Aeronave em tráfego Internacional"
customs_regime_processing,"Regime de Aperfeiçoamento"
customs_regime_warehouse,"Regime de Depósito"
customs_regime_duty_free_shop,"Regime de Lojas Franca"
customs_regime_onboard_consumption,"Regime de Consumo de Bordo"
customs_regime_temporary_admission,"Regime de Permanência Temporária"
customs_regime_transit,"Regime de Trânsito"
customs_regime_repetro_lng_temp,"Repetro GNL-Temporário"
customs_regime_repetro_temp,"Repetro Temporário"
customs_regime_repetro_warehouse,"Repetro Entreposto"
customs_regime_repetro_industrial,"Repetro Industrialização"
customs_regime_repetro_national,"Repetro Nacional"
customs_regime_repetro_permanente,"Repetro Permanente"
customs_regime_manaus_ftz,"Zona Franca de Manaus"
customs_regime_manaus_ftz_intercompany,"Entre empresas da Zona Franca de Manaus"
customs_regime_free_trade_area,"Área de Livre Comércio"
customs_regime_export_processing_zone,"Zona de Processamento de Exportação"
customs_regime_export_processing_zone_intercompany,"Entre empresas da Zona de Processamento de Exportação"

