"id","item","code","segment","name","ncms"
"cest_2112400","124","21.124.00","19","Abajures de cabeceiras, de escritório e lampadários de interior, elétricos e suas partes","94052000,94059"
"cest_2106500","65.0","21.065.00","19","Câmeras fotográficas digitais e câmeras de vídeo e suas partes","8525802"
"cest_2106600","66.0","21.066.00","19","Outros aparelhos receptores para radiodifusão, mesmo combinados num invólucro, com um aparelho de gravação ou de reprodução de som, ou com um relógio, inclusive caixa acústica para Home Theaters classificados na posição 8518","85279"
"cest_2106700","67.0","21.067.00","19","Monitores e projetores que não incorporem aparelhos receptores de televisão, policromáticos","85284929,85285920,852869"
"cest_2106701","67.1","21.067.01","19","Projetores capazes de serem conectados diretamente a uma máquina automática para processamento de dados da posição 84.71 e concebidos para serem utilizados com esta máquina","85286200"
"cest_2106800","68.0","21.068.00","19","Outros monitores capazes de serem conectados diretamente a uma máquina automática para processamento de dados da posição 84.71 e concebidos para serem utilizados com esta máquina, policromáticos","85285220"
"cest_2106900","69.0","21.069.00","19","Aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou reprodução de som ou de imagens - Televisores de CRT (tubo de raios catódicos)","85287"
"cest_2107000","70.0","21.070.00","19","Aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou reprodução de som ou de imagens - Televisores de LCD (Display de Cristal Líquido)","85287"
"cest_2107100","71.0","21.071.00","19","Aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou reprodução de som ou de imagens - Televisores de Plasma","85287"
"cest_2107200","72.0","21.072.00","19","Outros aparelhos receptores de televisão não dotados de monitores ou display de vídeo","85287"
"cest_2107300","73.0","21.073.00","19","Outros aparelhos receptores de televisão não relacionados nos CEST 21.069.00, 21.070.00, 21.071.00 e 21.072.00","85287"
"cest_2107400","74.0","21.074.00","19","Câmeras fotográficas dos tipos utilizadas para preparação de clichês ou cilindros de impressão","900659"
"cest_2107500","75.0","21.075.00","19","Câmeras fotográficas para filmes de revelação e copiagem instantâneas","90064000"
"cest_0112500","125.0","01.125.00","01","Instrumentos e aparelhos para regulação","90321090"
"cest_0112600","126.0","01.126.00","01","Pressostatos","90322000"
"cest_0112700","127.0","01.127.00","01","Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00","871690"
"cest_0112800","128.0","01.128.00","01","Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis","73229010"
"cest_0199900","999.0","01.999.00","01","Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo"," "
"cest_0200100","1.0","02.001.00","02","Aperitivos, amargos, bitter e similares","2205,22089000"
"cest_0200200","2.0","02.002.00","02","Batida e similares","22089000"
"cest_0200300","3.0","02.003.00","02","Bebida ice","22089000"
"cest_0200400","4.0","02.004.00","02","Cachaça e aguardentes","220720,22084000"
"cest_0200500","5.0","02.005.00","02","Catuaba e similares","2205,22060090,22089000"
"cest_0200600","6.0","02.006.00","02","Conhaque, brandy e similares","22082000"
"cest_0200700","7.0","02.007.00","02","Cooler","22060090,22089000"
"cest_0200800","8.0","02.008.00","02","Gim (gin) e genebra","22085000"
"cest_0200900","9.0","02.009.00","02","Jurubeba e similares","2205,22060090,22089000"
"cest_0201000","10.0","02.010.00","02","Licores e similares","22087000"
"cest_0100100","1.0","01.001.00","01","Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores","38151210,38151290"
"cest_1703000","30.0","17.030.00","16","Produtos à base de cereais, obtidos por expansão ou torrefação","19041000,19049000"
"cest_1705602","56.2","17.056.02","16","Outras bolachas, exceto casquinhas para sorvete e os biscoitos e bolachas relacionados nos CEST 17.056.00 e 17.056.01","19059020"
"cest_1709700","97.0","17.097.00","16","Chá, mesmo aromatizado","0902,12119090,21069090"
