"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@ja_JP"
"l10n_jp_fiscal_position_tax_inclusive","Tax Inclusive","l10n_jp_tax_sale_exc_10","l10n_jp_tax_sale_incl_10","内税"
,,"l10n_jp_tax_purchase_exc_10","l10n_jp_tax_purchase_incl_10",
,,"l10n_jp_tax_sale_exc_8","l10n_jp_tax_sale_incl_8",
,,"l10n_jp_tax_purchase_exc_8","l10n_jp_tax_purchase_incl_8",
"l10n_jp_fiscal_position_tax_exclusive","Tax Exclusive","l10n_jp_tax_sale_incl_10","l10n_jp_tax_sale_exc_10","外税"
,,"l10n_jp_tax_purchase_incl_10","l10n_jp_tax_purchase_exc_10",
,,"l10n_jp_tax_sale_incl_8","l10n_jp_tax_sale_exc_8",
,,"l10n_jp_tax_purchase_incl_8","l10n_jp_tax_purchase_exc_8",
"l10n_jp_fiscal_position_tax_exempt","Oversea Customer","l10n_jp_tax_sale_exc_10","l10n_jp_tax_sale_exempt","海外取引先"
,,"l10n_jp_tax_sale_incl_10","l10n_jp_tax_sale_exempt",
,,"l10n_jp_tax_purchase_exc_10","l10n_jp_tax_purchase_imp",
,,"l10n_jp_tax_purchase_incl_10","l10n_jp_tax_purchase_imp",
,,"l10n_jp_tax_sale_exc_8","l10n_jp_tax_sale_exempt",
,,"l10n_jp_tax_sale_incl_8","l10n_jp_tax_sale_exempt",
,,"l10n_jp_tax_purchase_exc_8","l10n_jp_tax_purchase_imp",
,,"l10n_jp_tax_purchase_incl_8","l10n_jp_tax_purchase_imp",
"l10n_jp_fiscal_position_tax_reduction","Reduced Tax Rate","l10n_jp_tax_sale_exc_10","l10n_jp_tax_sale_exc_8","軽減税率"
,,"l10n_jp_tax_sale_incl_10","l10n_jp_tax_sale_incl_8",
,,"l10n_jp_tax_purchase_exc_10","l10n_jp_tax_purchase_exc_8",
,,"l10n_jp_tax_purchase_incl_10","l10n_jp_tax_purchase_incl_8",
