"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@ja_JP","invoice_label@ja_JP"
"l10n_jp_tax_sale_exc_8","1","8%","Sale (8%)","GST Sale 8%","percent","8.0","sale","False","True","l10n_jp_tax_group_8","base","invoice","+Taxable Sale Amount (8%)","","課税売上8%","課税売上8%"
"","","","","","","","","","","","tax","invoice","+GST Sale 8%","l10n_jp_330800","",""
"","","","","","","","","","","","base","refund","-Taxable Sale Amount (8%)","","",""
"","","","","","","","","","","","tax","refund","-GST Sale 8%","l10n_jp_330800","",""
"l10n_jp_tax_sale_exc_10","1","10%","Sale (10%)","GST Sale 10%","percent","10.0","sale","False","True","l10n_jp_tax_group_10","base","invoice","+Taxable Sale Amount (10%)","","課税売上10%","課税売上10%"
"","","","","","","","","","","","tax","invoice","+GST Sale 10%","l10n_jp_330800","",""
"","","","","","","","","","","","base","refund","-Taxable Sale Amount (10%)","","",""
"","","","","","","","","","","","tax","refund","-GST Sale 10%","l10n_jp_330800","",""
"l10n_jp_tax_sale_incl_8","1","8% Incl","GST Inc Sale (8%)","GST Inclusive Sale 8%","percent","8.0","sale","True","True","l10n_jp_tax_group_8","base","invoice","+Taxable Sale Amount (8%)","","課税売上8% （税込）","課税売上8%（税込）"
"","","","","","","","","","","","tax","invoice","+GST Sale 8%","l10n_jp_330800","",""
"","","","","","","","","","","","base","refund","-Taxable Sale Amount (8%)","","",""
"","","","","","","","","","","","tax","refund","-GST Sale 8%","l10n_jp_330800","",""
"l10n_jp_tax_sale_incl_10","1","10% Incl","GST Inc Sale (10%)","GST Inclusive Sale 10%","percent","10.0","sale","True","True","l10n_jp_tax_group_10","base","invoice","+Taxable Sale Amount (10%)","","課税売上10% （税込）","課税売上10%（税込）"
"","","","","","","","","","","","tax","invoice","+GST Sale 10%","l10n_jp_330800","",""
"","","","","","","","","","","","base","refund","-Taxable Sale Amount (10%)","","",""
"","","","","","","","","","","","tax","refund","-GST Sale 10%","l10n_jp_330800","",""
"l10n_jp_tax_sale_exempt","1","0% Exempt","GST Tax Exempt Sale","GST Tax Exempt Sale","percent","0.0","sale","False","True","l10n_jp_tax_group_exempt","base","invoice","-Tax Exempted Sale Amount","","輸出免税","輸出免税"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","+Tax Exempted Sale Amount","","",""
"","","","","","","","","","","","tax","refund","","","",""
"l10n_jp_tax_sale_non_vat","1","0%","Non-VAT","Non-VAT","percent","0.0","sale","False","True","l10n_jp_tax_group_exempt","base","invoice","-Zero-rated Tax Amount","","対象外売上","対象外売上"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","+Zero-rated Tax Amount","","",""
"","","","","","","","","","","","tax","refund","","","",""
"l10n_jp_tax_purchase_exc_8","1","8%","Purchase (8%)","GST Purchase 8%","percent","8.0","purchase","False","True","l10n_jp_tax_group_8","base","invoice","+Taxable Purchase Amount (8%)","","課税仕入8%","課税仕入8%"
"","","","","","","","","","","","tax","invoice","+GST Purchase 8%","l10n_jp_123200","",""
"","","","","","","","","","","","base","refund","-Taxable Purchase Amount (8%)","","",""
"","","","","","","","","","","","tax","refund","-GST Purchase 8%","l10n_jp_123200","",""
"l10n_jp_tax_purchase_exc_10","1","10%","Purchase (10%)","GST Purchase 10%","percent","10.0","purchase","False","True","l10n_jp_tax_group_10","base","invoice","+Taxable Purchase Amount (10%)","","課税仕入10%","課税仕入10%"
"","","","","","","","","","","","tax","invoice","+GST Purchase 10%","l10n_jp_123200","",""
"","","","","","","","","","","","base","refund","-Taxable Purchase Amount (10%)","","",""
"","","","","","","","","","","","tax","refund","-GST Purchase 10%","l10n_jp_123200","",""
"l10n_jp_tax_purchase_incl_8","1","8% Incl","GST Inc Purchase (8%)","GST Inclusive Purchase 8%","percent","8.0","purchase","True","True","l10n_jp_tax_group_8","base","invoice","+Taxable Purchase Amount (8%)","","課税仕入8%（税込）","課税仕入8%（税込）"
"","","","","","","","","","","","tax","invoice","+GST Purchase 8%","l10n_jp_123200","",""
"","","","","","","","","","","","base","refund","-Taxable Purchase Amount (8%)","","",""
"","","","","","","","","","","","tax","refund","-GST Purchase 8%","l10n_jp_123200","",""
"l10n_jp_tax_purchase_incl_10","1","10% Incl","GST Inc Purchase (10%)","GST Inclusive Purchase 10%","percent","10.0","purchase","True","True","l10n_jp_tax_group_10","base","invoice","+Taxable Purchase Amount (10%)","","課税仕入10%（税込）","課税仕入10%（税込）"
"","","","","","","","","","","","tax","invoice","+GST Purchase 10%","l10n_jp_123200","",""
"","","","","","","","","","","","base","refund","-Taxable Purchase Amount (10%)","","",""
"","","","","","","","","","","","tax","refund","-GST Purchase 10%","l10n_jp_123200","",""
"l10n_jp_tax_purchase_imp","1","0% EX","Oversea Purchase","Oversea Purchase","percent","0.0","purchase","False","True","l10n_jp_tax_group_exempt","base","invoice","+Imported","","輸入仕入","輸入仕入"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-Imported","","",""
"","","","","","","","","","","","tax","refund","","","",""
"l10n_jp_tax_purchase_exempt","1","0% Exempt","GST Tax Exempt Purchase","GST Tax Exempt Purchase","percent","0.0","purchase","False","True","l10n_jp_tax_group_exempt","base","invoice","+Zero-rated Purchase","","非課税仕入","非課税仕入"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-Zero-rated Purchase","","",""
"","","","","","","","","","","","tax","refund","","","",""
