"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@zh_HK"
"asset_technology","l10n_hk_110001","l10n_hk_151001","l10n_hk_522401","Technology","3","12","科技"
"asset_construction","l10n_hk_110003","l10n_hk_151002","l10n_hk_522402","Construction","30","12","建築"
"asset_installation","l10n_hk_110004","l10n_hk_151003","l10n_hk_522402","Installations","10","12","設施"
"asset_machines_and_tools","l10n_hk_110005","l10n_hk_151004","l10n_hk_522402","Machines","5","12","機器"
"asset_other_property","l10n_hk_110006","l10n_hk_151005","l10n_hk_522402","Other property","5","12","其他資產"
"asset_furniture_and_material","l10n_hk_110007","l10n_hk_151006","l10n_hk_522402","Furniture & material","5","12","家具及物料"
"asset_vehicle","l10n_hk_110008","l10n_hk_151007","l10n_hk_522402","Vehicle","5","12","車輛"
"asset_vehicle_accessories","l10n_hk_110009","l10n_hk_151008","l10n_hk_522402","Vehicle accessories","3","12","車輛配件"
