"id","name","auto_apply","country_id"
"l10n_id_domestic_fiscal_position","Domestic","1","base.id"
"l10n_id_foreign_trade_fiscal_position","Foreign Trade","1",""
"l10n_id_pemungut_ppn","Pemungut PPN","0",""
