"id","country_id","name","name@id"
"l10n_id_tax_group_luxury_goods","base.id","VAT","PPN"
"l10n_id_tax_group_non_luxury_goods","base.id","Other Value VAT","PPN Nilai Lain"
"l10n_id_tax_group_0","base.id","Zero-Rated","Tarif Nol"
"l10n_id_tax_group_exempt","base.id","Exempted","Dibebaskan"
"l10n_id_tax_group_not_collected","base.id","Not Collected","Tidak Dipungut"
"l10n_id_tax_group_stlg","base.id","STLG","PPnBM"
"l10n_id_tax_group_vat_collector","base.id","Collected by VAT Collector","Dipungut oleh Pemungut PPN"
