"id","name","name@fr"
"tax_group_0","VAT 0%","T.V.A. 0%"
"tax_group_6","Tax 6%","Taxe 6%"
"tax_group_11","Tax 11%","Taxe 11%"
"tax_group_19","Tax 19%","Taxe 19%"
"tax_group_1","CSS 1%","CSS 5%"
"tax_group_5","VAT 5%","T.V.A. 5%"
"tax_group_10","VAT 10%","T.V.A. 10%"
"tax_group_18","VAT 18%","T.V.A. 18%"
