id,name,code,user_type_id/id,chart_template_id/id,reconcile
uae_account_100101,Right of use Asset (IFRS 16),100101,account.data_account_type_fixed_assets,l10n_ae.uae_chart_template_standard,False
uae_account_100102,Accumulated Depreciation right use asset (IFRS 16),100102,account.data_account_type_fixed_assets,l10n_ae.uae_chart_template_standard,False
uae_account_100103,VAT Receivable,100103,account.data_account_type_non_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_101005,Main Safe,101005,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_101006,Main Safe - Foreign Currency,101006,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_101007,Visa & Master Credit Cards,101007,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_101008,Gateway Credit Cards,101008,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_101009,Manual Visa & Master Cards,101009,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_101010,PayPal Account,101010,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_102011,Accounts Receivable,102011,account.data_account_type_receivable,l10n_ae.uae_chart_template_standard,True
uae_account_102012,Accounts Receivable (PoS),102012,account.data_account_type_receivable,l10n_ae.uae_chart_template_standard,True
uae_account_102013,Post Dated Cheques Received,102013,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_102014,Other Receivable,102014,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_102015,Other Debtors,102015,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_103016,Shipment Insurance,103016,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_103017,Shipments Documentation Charges,103017,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_103018,Shipment Other Charges,103018,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_103019,Handling Difference in Inventory,103019,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
uae_account_103020,Items Delivered to Customs on temprary Base,103020,account.data_account_type_current_assets,l10n_ae.uae_chart_template_standard,False
