"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@fr"
"asset_land_improvements","l10n_ca_124103","l10n_ca_124109","l10n_ca_512218","Land Improvements","10","12","Aménagements de terrains"
"asset_buildings","l10n_ca_124104","l10n_ca_124110","l10n_ca_512241","Buildings","30","12","Bâtiments"
"asset_leasehold_improvements","l10n_ca_124105","l10n_ca_124111","l10n_ca_512218","Leasehold Improvements","10","12","Améliorations locatives"
"asset_all_other_structures","l10n_ca_124106","l10n_ca_124112","l10n_ca_512241","All Other Structures","15","12","Autres structures"
"asset_machinery_and_equipment","l10n_ca_124107","l10n_ca_124113","l10n_ca_512221","Machinery and Equipment","7","12","Machines et matériel"
"asset_capital_leases","l10n_ca_124108","l10n_ca_124114","l10n_ca_512241","Capital Leases","10","12","Contrats de location-acquisition"
"asset_technology","l10n_ca_124115","l10n_ca_124118","l10n_ca_512222","Technology","3","12","Technologie"
"asset_furniture_and_material","l10n_ca_124116","l10n_ca_124119","l10n_ca_512221","Furniture & material","5","12","Meubles et matériel"
"asset_vehicle","l10n_ca_124117","l10n_ca_124120","l10n_ca_512233","Vehicle","5","12","Véhicule"
