"id","method","method_number","method_period","method_progress_factor"
"asset_36_months_linear","linear","36","1",""
"asset_60_months_linear","linear","60","1",""
"asset_84_months_linear","linear","84","1",""
"asset_120_months_linear","linear","120","1",""
"asset_300_months_linear","linear","300","1",""
