"id","name","country_id","name@hu"
"tax_group_afa_27","27% VAT","base.hu","27% ÁFA"
"tax_group_afa_18","18% VAT","base.hu","18% ÁFA"
"tax_group_afa_5","5% VAT","base.hu","5% ÁFA"
"tax_group_afa_0","0% VAT","base.hu","0% ÁFA"
"tax_group_afa_komp","Compensation surcharge","base.hu","Kompenzációs felár"
