"id","name","sequence","country_id","preceding_subtotal","tax_receivable_account_id","tax_payable_account_id"
"tax_group_pension_fund","Fondi Pensione","0","base.it","Fondi Pensione Esclusi","2605","2605"
"tax_group_enasarco","Enasarco","999","base.it","ENASARCO Escluso","2605","2605"
"tax_group_withholding","Ritenute","1000","base.it","Totale Ritenute Escluse","2605","2605"
