"id","code","name","account_type","reconcile","non_trade","tag_ids"
"1611","1611","Crediti per ritenute subite (appoggio)","asset_current","False","","l10n_it.account_tag_C_ATT"
"2603","2603","Debiti per ritenute da versare (appoggio)","liability_current","False","","l10n_it.account_tag_D_PASS"
"2609","2609","Debiti per ritenute da versare (Fondo pensione)","liability_payable","True","True","l10n_it.account_tag_D_PASS"
"2610","2610","Debiti per ritenute da versare (Enasarco)","liability_payable","True","True","l10n_it.account_tag_D_PASS"
"2611","2611","Debiti per ritenute da versare","liability_payable","True","True","l10n_it.account_tag_D_PASS"
