"id","sequence","name","auto_apply","vat_required","country_id","country_group_id"
"l10n_bj_domestic_fiscal_position","1","BJ Domestic","1","","base.bj",""
"fiscal_position_template_1","1","National","1","","base.bj",""
"fiscal_position_template_2","3","International","1","","",""
