"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period"
"sa_asset_technology","sa_account_100109","sa_account_100109","sa_account_401001","Technology","3","12"
"sa_asset_construction","sa_account_100105","sa_account_100105","sa_account_401002","Construction","30","12"
"sa_asset_installation","sa_account_100106","sa_account_100106","sa_account_401003","Installations","10","12"
"sa_asset_machinery_tools","sa_account_100107","sa_account_100107","sa_account_401004","Machines & Tools","5","12"
"sa_asset_other_property","sa_account_100112","sa_account_100112","sa_account_401005","Other Property","5","12"
"sa_asset_furniture_material","sa_account_100108","sa_account_100108","sa_account_401006","Furniture & Material","5","12"
"sa_asset_vehicle","sa_account_100110","sa_account_100110","sa_account_401007","Vehicle","5","12"
"sa_asset_vehicle_accessories","sa_account_100111","sa_account_100111","sa_account_401008","Vehicle Accessories","3","12"
