id,country_id:id,state_id:id,name
city_ir_13001,base.ir,state_ir_13,تبريز
city_ir_13002,base.ir,state_ir_13,مرند
city_ir_13003,base.ir,state_ir_13,مراغه
city_ir_13004,base.ir,state_ir_13,ميانه
city_ir_13005,base.ir,state_ir_13,بناب
city_ir_13006,base.ir,state_ir_13,شبستر
city_ir_13007,base.ir,state_ir_13,تسوج
city_ir_13008,base.ir,state_ir_13,ترك
city_ir_13009,base.ir,state_ir_13,بستان آباد
city_ir_13010,base.ir,state_ir_13,هريس
city_ir_13011,base.ir,state_ir_13,ورزقان
city_ir_13012,base.ir,state_ir_13,هشترود
city_ir_13013,base.ir,state_ir_13,باسمنج
city_ir_13014,base.ir,state_ir_13,هاديشهر
city_ir_13015,base.ir,state_ir_13,وايقان
city_ir_13016,base.ir,state_ir_13,ملكان
city_ir_13017,base.ir,state_ir_13,ممقان
city_ir_13018,base.ir,state_ir_13,اهر
city_ir_13019,base.ir,state_ir_13,ايلخچي
city_ir_13020,base.ir,state_ir_13,اسكو
city_ir_13021,base.ir,state_ir_13,هوراند
city_ir_13022,base.ir,state_ir_13,آذرشهر
city_ir_13023,base.ir,state_ir_13,يامچي
city_ir_13024,base.ir,state_ir_13,کوزه کنان
city_ir_13025,base.ir,state_ir_13,گوگان
city_ir_13026,base.ir,state_ir_13,تيكمه داش
city_ir_13027,base.ir,state_ir_13,كشكسراي
city_ir_13028,base.ir,state_ir_13,سردرود
city_ir_13029,base.ir,state_ir_13,خسرو شهر
city_ir_13030,base.ir,state_ir_13,زنوز
city_ir_13031,base.ir,state_ir_13,صوفيان
city_ir_13032,base.ir,state_ir_13,عجب شير
city_ir_13033,base.ir,state_ir_13,شربيان
city_ir_13034,base.ir,state_ir_13,جلفا
city_ir_13035,base.ir,state_ir_13,شرفخانه
city_ir_13036,base.ir,state_ir_13,زرنق
city_ir_13037,base.ir,state_ir_13,سراب
city_ir_13038,base.ir,state_ir_13,كليبر
city_ir_13039,base.ir,state_ir_13,مهربان
city_ir_13040,base.ir,state_ir_13,خواجه
city_ir_13041,base.ir,state_ir_13,تركمانچاي
city_ir_13042,base.ir,state_ir_13,كلوانق
city_ir_13043,base.ir,state_ir_13,شندآباد
city_ir_13044,base.ir,state_ir_13,بخشايش
city_ir_13045,base.ir,state_ir_13,ابش احمد
city_ir_13046,base.ir,state_ir_13,سهند
city_ir_13047,base.ir,state_ir_13,ليلان
city_ir_13048,base.ir,state_ir_13,بناب جديد(مرند)
city_ir_13049,base.ir,state_ir_13,اقكند
city_ir_13050,base.ir,state_ir_13,قره آغاج
city_ir_13051,base.ir,state_ir_13,سيس
city_ir_13052,base.ir,state_ir_13,دوزدوزان
city_ir_13053,base.ir,state_ir_13,خامنه
city_ir_13054,base.ir,state_ir_13,سيه رود
city_ir_13055,base.ir,state_ir_13,خاروانا
city_ir_13056,base.ir,state_ir_13,خمارلو
city_ir_13057,base.ir,state_ir_13,خراجو
city_ir_13058,base.ir,state_ir_13,مراغه،خراجلو
city_ir_13059,base.ir,state_ir_13,ملكان،ليلان
city_ir_13060,base.ir,state_ir_13,هاديشهر(علمدار)
city_ir_13061,base.ir,state_ir_13,گاوگان
city_ir_13062,base.ir,state_ir_13,نظرکهريزي
city_ir_13063,base.ir,state_ir_13,ارسباران
city_ir_14001,base.ir,state_ir_14,اروميه
city_ir_14002,base.ir,state_ir_14,مياندواب
city_ir_14003,base.ir,state_ir_14,سلماس
city_ir_14004,base.ir,state_ir_14,سردشت
city_ir_14005,base.ir,state_ir_14,مهاباد
city_ir_14006,base.ir,state_ir_14,خوي
city_ir_14007,base.ir,state_ir_14,شاهين دژ
city_ir_14008,base.ir,state_ir_14,ماكو
city_ir_14009,base.ir,state_ir_14,بازرگان
city_ir_14010,base.ir,state_ir_14,تكاب
city_ir_14011,base.ir,state_ir_14,بوكان
city_ir_14012,base.ir,state_ir_14,شوط
city_ir_14013,base.ir,state_ir_14,پيرانشهر
city_ir_14014,base.ir,state_ir_14,اشنويه
city_ir_14015,base.ir,state_ir_14,تازه شهر
city_ir_14016,base.ir,state_ir_14,ايواوغلي
city_ir_14017,base.ir,state_ir_14,پلدشت
city_ir_14018,base.ir,state_ir_14,فيرورق
city_ir_14019,base.ir,state_ir_14,نقده
city_ir_14020,base.ir,state_ir_14,سيلوانه
city_ir_14021,base.ir,state_ir_14,ربط
city_ir_14022,base.ir,state_ir_14,ميرآباد
city_ir_14023,base.ir,state_ir_14,سيمينه
city_ir_14024,base.ir,state_ir_14,قره ضياءالدين
city_ir_14025,base.ir,state_ir_14,سيه چشمه
city_ir_14026,base.ir,state_ir_14,اواجيق
city_ir_14027,base.ir,state_ir_14,سرو
city_ir_14028,base.ir,state_ir_14,محموداباد
city_ir_14029,base.ir,state_ir_14,محمديار
city_ir_14030,base.ir,state_ir_14,نوشين
city_ir_14031,base.ir,state_ir_14,نالوس
city_ir_14032,base.ir,state_ir_14,باروق
city_ir_14033,base.ir,state_ir_14,چالدران
city_ir_14034,base.ir,state_ir_14,قوشچي
city_ir_14035,base.ir,state_ir_14,گردکشانه
city_ir_14036,base.ir,state_ir_14,چهاربرج
city_ir_14037,base.ir,state_ir_14,كشاورز
city_ir_14038,base.ir,state_ir_14,ماکو
city_ir_61001,base.ir,state_ir_61,گرمي
city_ir_61002,base.ir,state_ir_61,اردبيل
city_ir_61003,base.ir,state_ir_61,بيله سوار
city_ir_61004,base.ir,state_ir_61,اصلاندوز
city_ir_61005,base.ir,state_ir_61,پارس آباد
city_ir_61006,base.ir,state_ir_61,مشكين شهر
city_ir_61007,base.ir,state_ir_61,خلخال
city_ir_61008,base.ir,state_ir_61,نمين
city_ir_61009,base.ir,state_ir_61,سرعين
city_ir_61010,base.ir,state_ir_61,نير
city_ir_61011,base.ir,state_ir_61,کوثر
city_ir_61012,base.ir,state_ir_61,گيوي
city_ir_61013,base.ir,state_ir_61,هشتجين
city_ir_61014,base.ir,state_ir_61,تازه كندانگوت
city_ir_61015,base.ir,state_ir_61,كلور
city_ir_61016,base.ir,state_ir_61,جعفرآباد
city_ir_61017,base.ir,state_ir_61,عنبران
city_ir_61018,base.ir,state_ir_61,ابي بيگلو
city_ir_61019,base.ir,state_ir_61,رضي
city_ir_61020,base.ir,state_ir_61,کورايم
city_ir_61021,base.ir,state_ir_61,هير
city_ir_61022,base.ir,state_ir_61,اردبيل،هير
city_ir_61023,base.ir,state_ir_61,لاهرود
city_ir_61024,base.ir,state_ir_61,گيوي(كوثر)
city_ir_20001,base.ir,state_ir_20,اصفهان
city_ir_20002,base.ir,state_ir_20,ابریشم
city_ir_20003,base.ir,state_ir_20,ابوزيد آباد
