"id","sequence","name","auto_apply","country_id","country_group_id","vat_required","tax_ids/tax_dest_id","tax_ids/tax_src_id","account_ids/account_src_id","account_ids/account_dest_id","name@de"
"fiscal_position_domestic_skr03","1","Domestic business partner","1","base.de","","","","","","","Geschäftspartner Inland"
"fiscal_position_non_eu_partner_service_skr03","6","Service provider abroad (non-EU)","","","","","tax_free_third_country_skr03","tax_ust_19_skr03","","","Dienstleister Ausland (Nicht-EU)"
"","","","","","","","tax_vst_ust_19_purchase_13b_werk_ausland_skr03","tax_vst_19_skr03","","",""
"","","","","","","","","","account_8400","account_8338",""
"","","","","","","","","","account_3400","account_3125",""
"fiscal_position_non_eu_partner_skr03","5","Business partner abroad (non-EU)","","","","","tax_export_skr03","tax_ust_19_skr03","","","Geschäftspartner Ausland (Nicht-EU)"
"","","","","","","","tax_export_skr03","tax_ust_7_skr03","","",""
"","","","","","","","tax_import_19_and_payable_skr03","tax_vst_19_skr03","","",""
"","","","","","","","tax_import_7_and_payable_skr03","tax_vst_7_skr03","","",""
"","","","","","","","","","account_8400","account_8120",""
"","","","","","","","","","account_8300","account_8120",""
"","","","","","","","","","account_3400","account_3551",""
"","","","","","","","","","account_3300","account_3557",""
"fiscal_position_eu_vat_id_partner_skr03","2","Business partner EU (with VAT ID)","1","","base.europe","","tax_eu_sale_skr03","tax_ust_19_skr03","","","Geschäftspartner EU (mit USt-ID)"
"","","","","","","","tax_eu_sale_skr03","tax_ust_7_skr03","","",""
"","","","","","","","tax_eu_19_purchase_skr03","tax_vst_19_skr03","","",""
"","","","","","","","tax_eu_7_purchase_skr03","tax_vst_7_skr03","","",""
"","","","","","","","","","account_2401","account_2402",""
"","","","","","","","","","account_2406","account_2402",""
"","","","","","","","","","account_2431","account_2430",""
"","","","","","","","","","account_2436","account_2430",""
"","","","","","","","","","account_8400","account_8125",""
"","","","","","","","","","account_8300","account_8125",""
"","","","","","","","","","account_3400","account_3425",""
"","","","","","","","","","account_3300","account_3420",""
"fiscal_position_eu_vat_id_partner_service_skr03","3","Service provider EU (with VAT ID)","","","","1","tax_eu_19_purchase_goods_skr03","tax_vst_19_skr03","","","Dienstleister EU (mit USt-ID)"
"","","","","","","","tax_eu_7_purchase_goods_skr03","tax_vst_7_skr03","","",""
"","","","","","","","","","account_3400","account_3123",""
"","","","","","","","","","account_3300","account_3113",""
"fiscal_position_eu_no_id_partner_skr03","4","Business partner EU (without VAT ID)","","","","","tax_eu_19_purchase_no_vst_skr03","tax_vst_19_skr03","","","Geschäftspartner EU (ohne USt-ID)"
"","","","","","","","tax_ust_eu_skr03","tax_ust_7_skr03","","",""
"","","","","","","","tax_ust_19_eu_skr03","tax_ust_19_skr03","","",""
"","","","","","","","","","account_2401","account_2403",""
"","","","","","","","","","account_2406","account_2408",""
"","","","","","","","","","account_2431","account_2430",""
"","","","","","","","","","account_2436","account_2430",""
"","","","","","","","","","account_8400","account_8315",""
"","","","","","","","","","account_8300","account_8310",""
"","","","","","","","","","account_3400","account_3435",""
"","","","","","","","","","account_3300","account_3430",""
