"id","name","country_id","tax_receivable_account_id","tax_payable_account_id","advance_tax_payment_account_id","name@de"
"tax_group_0","USt 0%","base.de","account_1545","account_1797","account_1780","USt 0%"
"tax_group_7","Umsatzsteuer 7 %","base.de","account_1545","account_1797","account_1780","Umsatzsteuer 7 %"
"tax_group_55","USt 5,5%","base.de","account_1545","account_1797","account_1780","USt 5,5%"
"tax_group_107","USt 10,7%","base.de","account_1545","account_1797","account_1780","USt 10,7%"
"tax_group_x","USt x%","base.de","account_1545","account_1797","account_1780","USt x%"
"tax_group_19","USt 19%","base.de","account_1545","account_1797","account_1780","USt 19%"
