"id","name","auto_apply","sequence","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"account_fiscal_position_exportation","Exportación","1","10",,"vat1","vat3"
"","","","","","vat2","vat3"
"","","","","","vat4","vat6"
"","","","","","vat5","vat6"
"account_fiscal_position_local_uruguay","Local – Uruguay","1","15","base.uy","",""
