"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_in_inter_state","Inter State","sgst_sale_1","igst_sale_1"
"","","sgst_sale_2","igst_sale_2"
"","","sgst_sale_5","igst_sale_5"
"","","sgst_sale_12","igst_sale_12"
"","","sgst_sale_18","igst_sale_18"
"","","sgst_sale_28","igst_sale_28"
"","","sgst_purchase_1","igst_purchase_1"
"","","sgst_purchase_2","igst_purchase_2"
"","","sgst_purchase_5","igst_purchase_5"
"","","sgst_purchase_12","igst_purchase_12"
"","","sgst_purchase_18","igst_purchase_18"
"","","sgst_purchase_28","igst_purchase_28"
"fiscal_position_in_export","Export","sgst_sale_1","igst_sale_1"
"","","sgst_sale_2","igst_sale_2"
"","","sgst_sale_5","igst_sale_5"
"","","sgst_sale_12","igst_sale_12"
"","","sgst_sale_18","igst_sale_18"
"","","sgst_sale_28","igst_sale_28"
"","","sgst_purchase_1","igst_purchase_1"
"","","sgst_purchase_2","igst_purchase_2"
"","","sgst_purchase_5","igst_purchase_5"
"","","sgst_purchase_12","igst_purchase_12"
"","","sgst_purchase_18","igst_purchase_18"
"","","sgst_purchase_28","igst_purchase_28"
"fiscal_position_in_reverse_charge_intra","Reverse charge Intra State","sgst_purchase_1","sgst_purchase_1_rc"
"","","sgst_purchase_2","sgst_purchase_2_rc"
"","","sgst_purchase_5","sgst_purchase_5_rc"
"","","sgst_purchase_12","sgst_purchase_12_rc"
"","","sgst_purchase_18","sgst_purchase_18_rc"
"","","sgst_purchase_28","sgst_purchase_28_rc"
"fiscal_position_in_reverse_charge_inter","Reverse charge Inter State","sgst_purchase_1","igst_purchase_1_rc"
"","","sgst_purchase_2","igst_purchase_2_rc"
"","","sgst_purchase_5","igst_purchase_5_rc"
"","","sgst_purchase_12","igst_purchase_12_rc"
"","","sgst_purchase_18","igst_purchase_18_rc"
"","","sgst_purchase_28","igst_purchase_28_rc"
