"id","name","name@es","name@ca","account_asset_id","account_depreciation_id","account_depreciation_expense_id","method_number"
"asset_common_research","Research","Investigación","Recerca","account_common_200","account_common_2800","account_common_680","5"
"asset_common_development","Development","Desarrollo","Desenvolupament","account_common_201","account_common_2800","account_common_680","5"
"asset_common_administrative_concessions","Administrative concessions","Concesiones administrativas","Concessions administratives","account_common_202","account_common_2800","account_common_682","5"
"asset_common_industrial_property","Industrial property","Propiedad industrial","Propietat industrial","account_common_203","account_common_2800","account_common_682","10"
"asset_common_leaseholds","Leaseholds","Derechos de traspaso","Drets de traspàs","account_common_205","account_common_2800","account_common_682","5"
"asset_common_computer_software","Computer software","Aplicaciones informáticas","Aplicacions informàtiques","account_common_206","account_common_2800","account_common_682","5"
"asset_common_advances_for_intangible_assets","Advances for intangible assets","Anticipos para inmovilizaciones intangibles","Avançaments per a immobilitzacions intangibles","account_common_209","account_common_2800","account_common_682","5"
"asset_common_buildings","Buildings","Construcciones","Construccions","account_common_211","account_common_2811","account_common_681","30"
"asset_common_technical_installations","Technical installations","Instalaciones técnicas","Instal·lacions tècniques","account_common_212","account_common_2812","account_common_681","10"
"asset_common_machinery","Machinery","Maquinaria","Maquinària","account_common_213","account_common_2813","account_common_681","8"
"asset_common_equipement","Equipment","Utillaje","Utillatge","account_common_214","account_common_2814","account_common_681","5"
"asset_common_other_installations","Other installations","Otras instalaciones","Altres instal·lacions","account_common_215","account_common_2815","account_common_681","10"
"asset_common_furniture","Furniture","Mobiliario","Mobiliari","account_common_216","account_common_2816","account_common_681","10"
"asset_common_information_technology_equipment","Information technology equipment","Equipos para proceso de información","Equips per a processos d’informació","account_common_217","account_common_2817","account_common_681","4"
"asset_common_motor_vehicles","Motor vehicles","Elementos de transporte","Elements de transport","account_common_218","account_common_2818","account_common_681","4"
"asset_common_other_property_plant_equipment","Other property, plant and equipment","Otro inmovilizado material","Altre immobilitzat material","account_common_219","account_common_2819","account_common_681","5"
"asset_common_investment_in_buildings","Investments in buildings","Inversiones en construcciones","Inversions en construccions","account_common_221","account_common_282","account_common_682","30"
