"id","sequence","active","description","invoice_label","type_tax_use","name","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override"
"account_tax_template_s_irpf9","1000","True","9% Withholding income tax ","Withholding 9%","sale","9% WHI","Retenciones a cuenta IRPF 9%","Retencions a compte IRPF 9%","-9.0","percent","tax_group_retenciones_9","","retencion","","","","","base","","invoice","","","Retención 9%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf18","1000","True","18% Withholding income tax","Withholding 18%","sale","18% WHI","Retenciones a cuenta IRPF 18%","Retencions a compte IRPF 18%","-18.0","percent","tax_group_retenciones_18","","retencion","","","","","base","","invoice","","","Retención 18%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf19","1000","True","19% Withholding income tax","Withholding 19%","sale","19% WHI","Retenciones a cuenta IRPF 19%","Retencions a compte IRPF 19%","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","","invoice","","","Retención 19%","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
"account_tax_template_s_irpf19a","1000","True","19% Withholding (leases)","Withholding 19% (Lease)","sale","19% WH lease","Retenciones a cuenta 19% (Arrendamientos)","Retencions a compte 19% (arrendaments)","-19.0","percent","tax_group_retenciones_19","","retencion","","","","","base","","invoice","","","Retención 19% (Arrend.)","","tax_excluded"
"","","","","","","","","","","","","","","","","","","tax","","invoice","account_common_473","","","",""
"","","","","","","","","","","","","","","","","","","base","","refund","","","","",""
"","","","","","","","","","","","","","","","","","","tax","","refund","account_common_473","","","",""
