id,code_prefix_start,code_prefix_end,name,chart_template_id/id
ma_group_51,51,,Cash - Assets,l10nma_chart_template
ma_group_511,511,,Checks and Securities to be Cashed,l10nma_chart_template
ma_group_514,514,,"Bank, General Treasury and Postal Checks in Debit",l10nma_chart_template
ma_group_516,516,,"Cash, Imprest Accounts and Letters of Credit",l10nma_chart_template
ma_group_55,55,,Cash - Liabilities,l10nma_chart_template
ma_group_552,552,,Discount Credits,l10nma_chart_template
ma_group_553,553,,Cash Credits,l10nma_chart_template
ma_group_554,554,,Banks (Credit Balances),l10nma_chart_template
ma_group_59,59,,Provisions for Depreciation of Cash Accounts,l10nma_chart_template
ma_group_590,590,,Provisions for Depreciation of Cash Accounts,l10nma_chart_template
ma_group_6,6,,Expense Accounts,l10nma_chart_template
ma_group_61,61,,Operating Expenses,l10nma_chart_template
ma_group_611,611,,Purchases of Goods Resold,l10nma_chart_template
ma_group_612,612,,Purchases of Materials and Supplies Consumed,l10nma_chart_template
ma_group_613,613,614,Other External Expenses,l10nma_chart_template
ma_group_616,616,,Taxes and Duties,l10nma_chart_template
ma_group_617,617,,Personnel Expenses,l10nma_chart_template
ma_group_618,618,,Other Operating Expenses,l10nma_chart_template
ma_group_619,619,,Operating Allocations,l10nma_chart_template
ma_group_63,63,,Financial Expenses,l10nma_chart_template
ma_group_631,631,,Interest Expenses,l10nma_chart_template
ma_group_633,633,,Foreign Exchange Losses,l10nma_chart_template
ma_group_638,638,,Other Financial Expenses,l10nma_chart_template
ma_group_639,639,,Financial Allocations,l10nma_chart_template
ma_group_65,65,,Non-Current Expenses,l10nma_chart_template
ma_group_651,651,,Net Depreciation Value of Non-Current Assets Sold,l10nma_chart_template
ma_group_656,656,,Subsidies Granted,l10nma_chart_template
ma_group_658,658,,Other Non-Current Expenses,l10nma_chart_template
ma_group_659,659,,Non-Current Allocations,l10nma_chart_template
ma_group_67,67,,Income Taxes,l10nma_chart_template
ma_group_670,670,,Income Taxes,l10nma_chart_template
ma_group_7,7,,Income Accounts,l10nma_chart_template
ma_group_71,71,,Operating Income,l10nma_chart_template
ma_group_711,711,,Sales of Goods,l10nma_chart_template
ma_group_712,712,,Sales of Goods and Services Produced,l10nma_chart_template
ma_group_713,713,,Change in Inventory of Products,l10nma_chart_template
ma_group_714,714,,Non-Current Assets Produced by the Company for its Own Use,l10nma_chart_template
ma_group_716,716,,Operating Subsidies,l10nma_chart_template
ma_group_718,718,,Other Operating Income,l10nma_chart_template
ma_group_719,719,,Operating Reversals; Expense Transfers,l10nma_chart_template
ma_group_73,73,,Financial Income,l10nma_chart_template
ma_group_732,732,,Income from Equity Securities and Other Non-Current Assets,l10nma_chart_template
ma_group_733,733,,Foreign Exchange Gains,l10nma_chart_template
ma_group_738,738,,Interest and Other Financial Income,l10nma_chart_template
ma_group_739,739,,Financial Reversals; Expense Transfers,l10nma_chart_template
ma_group_75,75,,Non-Current Income,l10nma_chart_template
ma_group_751,751,,Income from Disposal of Non-Current Assets,l10nma_chart_template
ma_group_756,756,,Balancing Subsidies,l10nma_chart_template
ma_group_757,757,,Reversals of Investment Subsidies,l10nma_chart_template
ma_group_758,758,,Other Non-Current Income,l10nma_chart_template
ma_group_759,759,,Non-Current Reversals; Expense Transfers,l10nma_chart_template
ma_group_8,8,,Profit and Loss Accounts,l10nma_chart_template
ma_group_81,81,,Operating Result,l10nma_chart_template
ma_group_810,810,,Operating Result,l10nma_chart_template
ma_group_811,811,,Gross Margins,l10nma_chart_template
ma_group_814,814,,Added Value,l10nma_chart_template
ma_group_817,817,,Gross Operating Surplus,l10nma_chart_template
ma_group_83,83,,Financial Result,l10nma_chart_template
ma_group_830,830,,Financial Result,l10nma_chart_template
ma_group_84,84,,Current Result,l10nma_chart_template
ma_group_840,840,,Current Result,l10nma_chart_template
ma_group_85,85,,Non-Current Result,l10nma_chart_template
ma_group_850,850,,Non-Current Result,l10nma_chart_template
ma_group_86,86,,Income Before Taxes,l10nma_chart_template
ma_group_860,860,,Income Before Taxes,l10nma_chart_template
ma_group_88,88,,Income After Taxes,l10nma_chart_template
ma_group_880,880,,Income After Taxes,l10nma_chart_template
