"id","name"
"account_tags_tax_c_exempt","Bangladesh Corporate Tax - Exempt Income"
"account_tags_tax_c_cog","Bangladesh Corporate Tax - Cost of Goods Sold"
"account_tags_tax_c_exp","Bangladesh Corporate Tax - Expense"
