"id","country_id/id","name","code"
state_lb_01,base.lb,"Akkar","01"
state_lb_02_ar,base.lb,"عكار","02"
state_lb_03,base.lb,"Baalbeck-Hermel","03"
state_lb_04_ar,base.lb,"بعلبك - الهرمل","04"
state_lb_05,base.lb,"Beirut","05"
state_lb_06_ar,base.lb,"بيروت","06"
state_lb_07,base.lb,"Bekaa","07"
state_lb_08_ar,base.lb,"البقاع","08"
state_lb_09,base.lb,"Mount Lebanon","09"
state_lb_10_ar,base.lb,"جبل لبنان","10"
state_lb_11,base.lb,"North Lebanon","11"
state_lb_12_ar,base.lb,"الشمال","12"
state_lb_13,base.lb,"Nabatiyeh","13"
state_lb_14_ar,base.lb,"النبطية","14"
state_lb_15,base.lb,"South Lebanon","15"
state_lb_16_ar,base.lb,"الجنوب","16"
