"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","account_ids/account_src_id","account_ids/account_dest_id","name@et"
"afpt_national","1","National","1","1","base.ee","","","","Riiklik"
"afpt_eu_private","2","EU Private","1","","","account.europe_vat","","","ELi eraisik"
"afpt_eu_ic","3","EU Intra-Community","1","1","","account.europe_vat","","","ELi ühendusesisene"
"","","","","","","","l10n_ee_40000","l10n_ee_40100",""
"","","","","","","","l10n_ee_40001","l10n_ee_40101",""
"","","","","","","","l10n_ee_4001","l10n_ee_4011",""
"afpt_imp_exp","4","Import/Export","1","","","","","","Import/Eksport"
"","","","","","","","l10n_ee_40000","l10n_ee_40200",""
"","","","","","","","l10n_ee_40001","l10n_ee_40201",""
"","","","","","","","l10n_ee_4001","l10n_ee_4021",""
