"id","sequence","name","type_tax_use","amount","amount_type","description","tax_group_id","active","l10n_ee_kmd_inf_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@et","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"l10n_ee_vat_out_20_g","10","20% G","sale","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","1_1_base","","","20% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","1_1_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","1_1_base","","","","","",""
"","","","","","","","","","","tax","refund","1_1_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_22_g","11","22% G","sale","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","1_base","","","22% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","1_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","1_base","","","","","",""
"","","","","","","","","","","tax","refund","1_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_24_g","13","24% G","sale","24.0","percent","24%","tax_group_vat_24","","","base","invoice","1_base_24","","","24% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","1_tax_24","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","1_base_24","","","","","",""
"","","","","","","","","","","tax","refund","1_tax_24","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_20_s","20","20% S","sale","20.0","percent","20%","tax_group_vat_20","False","","base","invoice","1_1_base","","","20% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","1_1_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","1_1_base","","","","","",""
"","","","","","","","","","","tax","refund","1_1_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_22_s","21","22% S","sale","22.0","percent","22%","tax_group_vat_22","False","","base","invoice","1_base","","","22% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","1_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","1_base","","","","","",""
"","","","","","","","","","","tax","refund","1_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_24_s","23","24% S","sale","24.0","percent","24%","tax_group_vat_24","","","base","invoice","1_base_24","","","24% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","1_tax_24","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","1_base_24","","","","","",""
"","","","","","","","","","","tax","refund","1_tax_24","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_13_s","25","13% S","sale","13.0","percent","13%","tax_group_vat_13","","","base","invoice","2_2_base","","","13% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","2_2_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","2_2_base","","","","","",""
"","","","","","","","","","","tax","refund","2_2_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_9_g","30","9% G","sale","9.0","percent","9%","tax_group_vat_9","","","base","invoice","2_base","","","9% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","2_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","2_base","","","","","",""
"","","","","","","","","","","tax","refund","2_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_9_s","40","9% S","sale","9.0","percent","9%","tax_group_vat_9","False","","base","invoice","2_base","","","9% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","2_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","2_base","","","","","",""
"","","","","","","","","","","tax","refund","2_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_5_g","50","5% G","sale","5.0","percent","5%","tax_group_vat_5","","","base","invoice","2_1_base","","","5% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","2_1_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","2_1_base","","","","","",""
"","","","","","","","","","","tax","refund","2_1_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_5_s","60","5% S","sale","5.0","percent","5%","tax_group_vat_5","False","","base","invoice","2_1_base","","","5% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","2_1_tax","l10n_ee_201204","","","","",""
"","","","","","","","","","","base","refund","2_1_base","","","","","",""
"","","","","","","","","","","tax","refund","2_1_tax","l10n_ee_201204","","","","",""
"l10n_ee_vat_out_0_g","70","0% G","sale","0.0","percent","0%","tax_group_vat_0","","","base","invoice","3","","","0% K","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_ee_vat_out_0_s","80","0% S","sale","0.0","percent","0%","tax_group_vat_0","False","","base","invoice","3","","","0% T","afpt_eu_private,afpt_national","",""
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","3","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
