"id","name",sequence,"auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@it","note","note@it"
"declaration_of_intent_fiscal_position","Declaration of Intent","10","0","0",,,"22v","00di","Dichiarazione di Intento","Not taxable (art. 8, c. 1, lett. c) D.P.R. 633/1972) letter intent","Non imponibile (art. 8, c. 1, lett. c) D.P.R. 633/1972) Lettera intento"
"","","","","","","","10v","00di","","",""
"","","","","","","","5v","00di","","",""
"","","","","","","","4v","00di","","",""
