"id","name","name@es","account_depreciation_id","account_depreciation_expense_id","method_period","method_number"
"asset_technology","Technology","Tecnología","cuenta171_05_01","cuenta613_05_01","12","3"
"asset_renewable_energy_technology_installation","Renewable Energy Technology Installation","Instalación de Tecnología de Energía Renovable","cuenta171_16_01","cuenta613_16_01","12","10"
"asset_machinery_and_equipment","Machinery & equipment","Maquinaria y Equipo","cuenta171_02_01","cuenta613_02_01","12","5"
"asset_other_machinery_and_equipment","Other Machines & Equipment","Otra Maquinaria y Equipo","cuenta171_18_01","cuenta613_18_01","12","5"
"asset_furniture_and_office_equipment","Furniture & Office Equipment","Mobiliario y Equipo de Oficina","cuenta171_04_01","cuenta613_04_01","12","5"
"asset_vehicles","Vehicles","Vehículos","cuenta171_03_01","cuenta613_03_01","12","5"
"asset_upgrades_and_retrofits","Upgrades and Retrofits","Adaptaciones y Mejoras","cuenta171_17_01","cuenta613_17_01","12","3"
"asset_brands_and_patents","Brands and Patents","Marcas y Patentes","cuenta183_07_01","cuenta614_07_01","1","80"
"asset_deferred_expenses","Deferred Expenses","Gastos diferidos","cuenta183_01_01","cuenta614_01_01","12","1"
