"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","include_base_amount","l10n_mx_tax_type","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","name@es"
"","","","","","","","","","","","","","","tax","invoice","cuenta216_10_20","-DIOT: Retención",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta216_10_20","+DIOT: Retención",""
"tax3","12","WITHHOLDING OF LEASE INCOME TAX 10%","","Retención ISR -10%","-10.0","percent","purchase","tax_group_isr_ret_10","","","","Tasa","","base","invoice","","","RET ISR ARRENDIAMENTO 10%"
"","","","","","","","","","","","","","","tax","invoice","cuenta216_03","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta216_03","",""
"tax5","13","WITHHOLDING OF INCOME TAX ON SALARIES 10%","","Retención ISR -10%","-10.0","percent","purchase","tax_group_isr_ret_10","","","","Tasa","","base","invoice","","","RET ISR HONORARIOS 10%"
"","","","","","","","","","","","","","","tax","invoice","cuenta216_04","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta216_04","",""
"tax7","14","VAT WITHHOLDING TAX ON LEASING 10.67%","","Retención IVA -10.67%","-10.67","percent","purchase","tax_group_iva_ret_1067","on_payment","cuenta216_10","","Tasa","","base","invoice","","","RET IVA ARRENDIAMENTO 10.67%"
"","","","","","","","","","","","","","","tax","invoice","cuenta216_10_20","-DIOT: Retención",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta216_10_20","+DIOT: Retención",""
"tax8","15","VAT WITHHOLDING FEES 10.67%","","Retención IVA -10.67%","-10.67","percent","purchase","tax_group_iva_ret_1067","on_payment","cuenta216_10","","Tasa","","base","invoice","","","RET IVA HONORARIOS 10.67%"
"","","","","","","","","","","","","","","tax","invoice","cuenta216_10_20","-DIOT: Retención",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta216_10_20","+DIOT: Retención",""
"tax13","18","VAT 0% PURCHASES","","IVA 0%","0.0","percent","purchase","tax_group_iva_0","on_payment","cuenta119_01","","Tasa","","base","invoice","","+DIOT: 0%","IVA 0% COMPRAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta118_01","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta118_01","+DIOT: Refunds",""
"tax14","19","VAT 16% PURCHASES","","IVA 16%","16.0","percent","purchase","tax_group_iva_16","on_payment","cuenta119_01","","Tasa","","base","invoice","","+DIOT: 16%","IVA 16% COMPRAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta118_01","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta118_01","+DIOT: Refunds",""
"tax16","20","VAT 8% PURCHASES","","IVA 8%","8.0","percent","purchase","tax_group_iva_8","on_payment","cuenta119_01","","Tasa","","base","invoice","","+DIOT: 8%","IVA 8% COMPRAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta118_01","",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta118_01","+DIOT: Refunds",""
"tax17","21","VAT 8% SALES","","IVA 8%","8.0","percent","sale","tax_group_iva_8","on_payment","cuenta209_01","","Tasa","","base","invoice","","","IVA 8% VENTAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta208_01","l10n_mx.tag_iva",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta208_01","l10n_mx.tag_iva",""
