"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","depreciation_duration","depreciation_period","name@es"
"asset_technology","cuenta156_01_01","cuenta171_05_01","cuenta613_05_01","Technology","3","12","Tecnología"
"asset_renewable_energy_technology_installation","cuenta168_01_01","cuenta171_16_01","cuenta613_16_01","Renewable Energy Technology Installation","10","12","Instalación de Tecnología de Energía Renovable"
"asset_machinery_and_equipment","cuenta153_01_01","cuenta171_02_01","cuenta613_02_01","Machinery & equipment","5","12","Maquinaria y Equipo"
"asset_other_machinery_and_equipment","cuenta169_01_01","cuenta171_18_01","cuenta613_18_01","Other Machines & Equipment","5","12","Otra Maquinaria y Equipo"
"asset_furniture_and_office_equipment","cuenta155_01_01","cuenta171_04_01","cuenta613_04_01","Furniture & Office Equipment","5","12","Mobiliario y Equipo de Oficina"
"asset_vehicles","cuenta154_01_01","cuenta171_03_01","cuenta613_03_01","Vehicles","5","12","Vehículos"
"asset_upgrades_and_retrofits","cuenta170_01_01","cuenta171_17_01","cuenta613_17_01","Upgrades and Retrofits","3","12","Adaptaciones y Mejoras"
"asset_brands_and_patents","cuenta179_01_01","cuenta183_07_01","cuenta614_07_01","Brands and Patents","80","1","Marcas y Patentes"
"asset_deferred_expenses","cuenta173_01","cuenta183_01_01","cuenta614_01_01","Deferred Expenses","1","12","Gastos diferidos"
