"id","sequence","name","name@es","country_id"
"l10n_mx_domestic_fiscal_position","10","MX Domestic","Cliente extranjero","base.mx"
"account_fiscal_position_foreign","20","Foreign Customer","Cliente extranjero",""
"account_fiscal_position_freight","30","Freight","Flete","base.mx"
"account_fiscal_position_honorarium","40","Honorarium","Honorarios","base.mx"
"account_fiscal_position_lease","50","Lease","Arrendamiento","base.mx"
