"id","country_id:id","state_id:id","code","name"
"res_locality_mx_coa_03","base.mx","base.state_mx_coah","03","Matamoros"
"res_locality_mx_coa_04","base.mx","base.state_mx_coah","04","Monclova"
"res_locality_mx_coa_05","base.mx","base.state_mx_coah","05","Parras de la Fuente"
"res_locality_mx_coa_06","base.mx","base.state_mx_coah","06","Piedras Negras"
"res_locality_mx_coa_07","base.mx","base.state_mx_coah","07","Sabinas"
"res_locality_mx_coa_08","base.mx","base.state_mx_coah","08","Saltillo"
"res_locality_mx_coa_09","base.mx","base.state_mx_coah","09","Nueva Rosita"
"res_locality_mx_coa_10","base.mx","base.state_mx_coah","10","San Pedro"
"res_locality_mx_coa_11","base.mx","base.state_mx_coah","11","Torreón"
"res_locality_mx_coa_12","base.mx","base.state_mx_coah","12","Castaños"
"res_locality_mx_coa_13","base.mx","base.state_mx_coah","13","Francisco I. Madero (Chávez)"
"res_locality_mx_coa_14","base.mx","base.state_mx_coah","14","Cuatro Ciénegas de Carranza"
"res_locality_mx_coa_15","base.mx","base.state_mx_coah","15","Nadadores"
"res_locality_mx_coa_16","base.mx","base.state_mx_coah","16","Ramos Arizpe"
"res_locality_mx_coa_17","base.mx","base.state_mx_coah","17","Nava"
"res_locality_mx_coa_18","base.mx","base.state_mx_coah","18","Zaragoza"
"res_locality_mx_coa_19","base.mx","base.state_mx_coah","19","San Buenaventura"
"res_locality_mx_coa_20","base.mx","base.state_mx_coah","20","Ciudad Melchor Múzquiz"
"res_locality_mx_coa_21","base.mx","base.state_mx_coah","21","Viesca"
"res_locality_mx_coa_22","base.mx","base.state_mx_coah","22","Morelos"
"res_locality_mx_coa_23","base.mx","base.state_mx_coah","23","Arteaga"
"res_locality_mx_coa_24","base.mx","base.state_mx_coah","24","Allende"
"res_locality_mx_gro_03","base.mx","base.state_mx_gro","03","Iguala de la Independencia"
"res_locality_mx_gro_04","base.mx","base.state_mx_gro","04","Taxco de Alarcón"
"res_locality_mx_gro_05","base.mx","base.state_mx_gro","05","Arcelia"
"res_locality_mx_gro_06","base.mx","base.state_mx_gro","06","Ayutla de los Libres"
"res_locality_mx_gro_07","base.mx","base.state_mx_gro","07","Atoyac de Álvarez"
"res_locality_mx_gro_09","base.mx","base.state_mx_gro","09","San Jerónimo de Juárez"
"res_locality_mx_gro_10","base.mx","base.state_mx_gro","10","Ciudad Apaxtla de Castrejón"
"res_locality_mx_gro_11","base.mx","base.state_mx_gro","11","Ciudad Altamirano"
"res_locality_mx_gro_12","base.mx","base.state_mx_gro","12","Buenavista de Cuellar"
"res_locality_mx_gro_13","base.mx","base.state_mx_gro","13","Cutzamala de Pinzón"
"res_locality_mx_gro_14","base.mx","base.state_mx_gro","14","Coyuca de Catalán"
"res_locality_mx_gro_15","base.mx","base.state_mx_gro","15","Tierra Colorada"
"res_locality_mx_gro_16","base.mx","base.state_mx_gro","16","Coyuca de Benítez"
"res_locality_mx_gro_17","base.mx","base.state_mx_gro","17","Olinalá"
"res_locality_mx_gro_18","base.mx","base.state_mx_gro","18","Marquelia"
"res_locality_mx_gro_19","base.mx","base.state_mx_gro","19","Zumpango del Río"
"res_locality_mx_gro_20","base.mx","base.state_mx_gro","20","San Luis de la Loma"
"res_locality_mx_gro_21","base.mx","base.state_mx_gro","21","Petatlán"
"res_locality_mx_gro_22","base.mx","base.state_mx_gro","22","La Unión"
"res_locality_mx_gro_23","base.mx","base.state_mx_gro","23","San Luis San Pedro"
"res_locality_mx_gro_24","base.mx","base.state_mx_gro","24","Teloloapan"
"res_locality_mx_gro_25","base.mx","base.state_mx_gro","25","Técpan de Galeana"
"res_locality_mx_gro_26","base.mx","base.state_mx_gro","26","Huitzuco"
