"id","code","name","parent_id:id","sign","domain","tax_discount"
"tax_code_chart_root","","Códigos de Impostos Brasileiros","","1","",0
"tax_code_1","ICMS","ICMS","tax_code_chart_root","1","icms",1
"tax_code_2","ICMS Subist","ICMS Subist","tax_code_chart_root","1","icmsst",0
"tax_code_3","IPI","IPI","tax_code_chart_root","1","ipi",0
"tax_code_4","PIS","PIS","tax_code_chart_root","1","pis",1
"tax_code_5","COFINS","COFINS","tax_code_chart_root","1","cofins",1
"tax_code_6","IRPJ","IRPJ","tax_code_chart_root","1","irpj",1
"tax_code_7","IR","IR","tax_code_chart_root","1","ir",1
"tax_code_8","ISS","ISS","tax_code_chart_root","1","iss",1
"tax_code_9","CSLL","CSLL","tax_code_chart_root","1","csll",1


