"id","country_id:id","state_id:id","name","name@pt"
"city_br_001","base.br","base.state_br_sp","São Paulo","São Paulo"
"city_br_002","base.br","base.state_br_rj","Rio de Janeiro","Rio de Janeiro"
"city_br_003","base.br","base.state_br_df","Brasília","Brasília"
"city_br_004","base.br","base.state_br_ce","Fortaleza","Fortaleza"
"city_br_005","base.br","base.state_br_ba","Salvador","Salvador"
"city_br_006","base.br","base.state_br_mg","Belo Horizonte","Belo Horizonte"
"city_br_007","base.br","base.state_br_am","Manaus","Manaus"
"city_br_008","base.br","base.state_br_pr","Curitiba","Curitiba"
"city_br_009","base.br","base.state_br_pe","Recife","Recife"
"city_br_010","base.br","base.state_br_go","Goiânia","Goiânia"
"city_br_011","base.br","base.state_br_rs","Porto Alegre","Porto Alegre"
"city_br_012","base.br","base.state_br_pa","Belém","Belém"
"city_br_013","base.br","base.state_br_sp","Guarulhos","Guarulhos"
"city_br_014","base.br","base.state_br_sp","Campinas","Campinas"
"city_br_015","base.br","base.state_br_ma","São Luís","São Luís"
"city_br_016","base.br","base.state_br_al","Maceió","Maceió"
"city_br_017","base.br","base.state_br_ms","Campo Grande","Campo Grande"
"city_br_018","base.br","base.state_br_rj","São Gonçalo","São Gonçalo"
"city_br_019","base.br","base.state_br_pi","Teresina","Teresina"
"city_br_020","base.br","base.state_br_pb","João Pessoa","João Pessoa"
"city_br_021","base.br","base.state_br_sp","São Bernardo do Campo","São Bernardo do Campo"
"city_br_022","base.br","base.state_br_rj","Duque de Caxias","Duque de Caxias"
"city_br_023","base.br","base.state_br_rj","Nova Iguaçu","Nova Iguaçu"
"city_br_024","base.br","base.state_br_rn","Natal","Natal"
"city_br_025","base.br","base.state_br_sp","Santo André","Santo André"
"city_br_026","base.br","base.state_br_sp","Osasco","Osasco"
"city_br_027","base.br","base.state_br_sp","Sorocaba","Sorocaba"
"city_br_028","base.br","base.state_br_mg","Uberlândia","Uberlândia"
"city_br_029","base.br","base.state_br_sp","Ribeirão Preto","Ribeirão Preto"
"city_br_030","base.br","base.state_br_sp","São José dos Campos","São José dos Campos"
"city_br_031","base.br","base.state_br_mt","Cuiabá","Cuiabá"
"city_br_032","base.br","base.state_br_pe","Jaboatão dos Guararapes","Jaboatão dos Guararapes"
"city_br_033","base.br","base.state_br_mg","Contagem","Contagem"
"city_br_034","base.br","base.state_br_sc","Joinville","Joinville"
"city_br_035","base.br","base.state_br_ba","Feira de Santana","Feira de Santana"
"city_br_036","base.br","base.state_br_se","Aracaju","Aracaju"
"city_br_037","base.br","base.state_br_pr","Londrina","Londrina"
"city_br_038","base.br","base.state_br_mg","Juiz de Fora","Juiz de Fora"
"city_br_039","base.br","base.state_br_sc","Florianópolis","Florianópolis"
"city_br_040","base.br","base.state_br_go","Aparecida de Goiânia","Aparecida de Goiânia"
"city_br_041","base.br","base.state_br_es","Serra","Serra"
"city_br_042","base.br","base.state_br_rj","Campos dos Goytacazes","Campos dos Goytacazes"
"city_br_043","base.br","base.state_br_rj","Belford Roxo","Belford Roxo"
"city_br_044","base.br","base.state_br_rj","Niterói","Niterói"
"city_br_045","base.br","base.state_br_sp","São José do Rio Preto","São José do Rio Preto"
"city_br_046","base.br","base.state_br_pa","Ananindeua","Ananindeua"
"city_br_047","base.br","base.state_br_es","Vila Velha","Vila Velha"
"city_br_048","base.br","base.state_br_rs","Caxias do Sul","Caxias do Sul"
"city_br_049","base.br","base.state_br_ro","Porto Velho","Porto Velho"
"city_br_050","base.br","base.state_br_sp","Mogi das Cruzes","Mogi das Cruzes"
"city_br_051","base.br","base.state_br_sp","Jundiaí","Jundiaí"
"city_br_052","base.br","base.state_br_ap","Macapá","Macapá"
"city_br_053","base.br","base.state_br_rj","São João de Meriti","São João de Meriti"
"city_br_054","base.br","base.state_br_sp","Piracicaba","Piracicaba"
"city_br_055","base.br","base.state_br_pb","Campina Grande","Campina Grande"
"city_br_056","base.br","base.state_br_sp","Santos","Santos"
"city_br_057","base.br","base.state_br_sp","Mauá","Mauá"
