id,l10n_br_edi_code
base.mm,930
base.ba,981
base.kp,1872
base.kr,1902
base.hr,1953
base.us,2496
base.fk,2550
base.gd,2976
base.im,3595
base.nl,5738
base.pf,5991
base.ss,7600
base.af,132
base.al,175
base.de,230
base.bf,310
base.ad,370
base.ao,400
base.aq,420
base.ag,434
base.sa,531
base.dz,590
base.ar,639
base.am,647
base.aw,655
base.au,698
base.at,728
base.bs,779
base.bh,809
base.bd,817
base.bb,833
base.by,850
base.be,876
base.bz,884
base.bm,906
base.bo,973
base.bq,990
base.bw,1015
base.bv,1023
base.br,1058
base.bn,1082
base.bg,1112
base.bi,1155
base.cv,1279
base.ky,1376
base.kh,1414
base.cm,1457
base.ca,1490
base.gg,1504
base.je,1508
base.kz,1538
base.qa,1546
base.cl,1589
base.cn,1600
base.cy,1635
base.co,1694
base.km,1732
base.cg,1775
base.ck,1830
base.cr,1961
base.kw,1988
base.cu,1996
base.bj,2291
base.dk,2321
base.dm,2356
base.ec,2399
base.eg,2402
base.er,2437
base.ae,2445
base.es,2453
base.si,2461
base.sk,2470
base.ee,2518
base.et,2534
base.ph,2674
base.fi,2712
base.fr,2755
base.ga,2810
base.gm,2852
base.gh,2895
base.ge,2917
base.gi,2933
base.gr,3018
base.gl,3050
base.gp,3093
base.gu,3131
base.gt,3174
base.gg,3212
base.gf,3255
base.gn,3298
base.gq,3310
base.gy,3379
base.ht,3417
base.hm,3433
base.hn,3450
base.hk,3514
base.hu,3557
base.ye,3573
base.bq,3599
base.in,3611
base.id,3654
base.iq,3697
base.ie,3751
base.is,3794
base.il,3832
base.it,3867
base.jm,3913
base.je,3930
base.jp,3999
base.jo,4030
base.ki,4111
base.la,4200
base.ls,4260
base.lv,4278
base.lb,4316
base.lr,4340
base.ly,4383
base.li,4405
base.lt,4421
base.lu,4456
base.mk,4499
base.mk,4499
base.mg,4502
base.my,4553
base.mw,4588
base.mv,4618
base.ml,4642
base.mt,4677
base.ma,4740
base.mh,4766
base.mq,4774
base.mu,4855
base.mr,4880
base.mx,4936
base.md,4944
base.mc,4952
base.mn,4979
base.me,4985
base.fm,4995
base.ms,5010
base.mz,5053
base.na,5070
base.nr,5088
base.cx,5118
base.np,5177
base.ni,5215
base.ne,5258
base.ng,5282
base.nu,5312
base.nf,5355
base.no,5380
base.nc,5428
base.pg,5452
base.nz,5487
base.vu,5517
base.om,5568
base.pw,5754
base.pk,5762
base.ps,5780
base.pa,5800
base.py,5860
base.pe,5894
base.pn,5932
base.pl,6033
base.pt,6076
base.pr,6114
base.ke,6238
base.kg,6254
base.ua,6289
base.cf,6408
base.do,6475
base.zw,6653
base.ro,6700
base.rw,6750
base.ru,6769
base.eh,6858
base.sv,6874
base.ws,6904
base.as,6912
base.sm,6971
base.vc,7056
base.sh,7102
base.lc,7153
base.sn,7285
base.sc,7315
base.sl,7358
base.rs,7370
base.sg,7412
base.sy,7447
base.so,7480
base.lk,7501
base.sz,7544
base.za,7560
base.sd,7595
base.se,7641
base.ch,7676
base.sr,7706
base.th,7765
base.tz,7803
base.td,7889
base.cz,7919
base.tg,8001
base.to,8109
base.tt,8150
base.tn,8206
base.tc,8230
base.tm,8249
base.tr,8273
base.tv,8281
base.ua,8311
base.ug,8338
base.uy,8451
base.uz,8478
base.va,8486
base.ve,8508
base.vn,8583
base.vg,8630
base.vi,8664
base.fj,8702
base.wf,8753
base.cg,8885
base.zm,8907
