"id","sequence","name","auto_apply","country_id","name@tr"
"tr_fp_domestic","10","Domestic","","base.tr","Yurt İçi"
"tr_fp_wh_2_10","20","Withholding 2/10","","base.tr","Tevkifat 2/10"
"tr_fp_wh_3_10","30","Withholding 3/10","","base.tr","Tevkifat 3/10"
"tr_fp_wh_4_10","40","Withholding 4/10","","base.tr","Tevkifat 4/10"
"tr_fp_wh_5_10","50","Withholding 5/10","","base.tr","Tevkifat 5/10"
"tr_fp_wh_7_10","60","Withholding 7/10","","base.tr","Tevkifat 7/10"
"tr_fp_wh_9_10","70","Withholding 9/10","","base.tr","Tevkifat 9/10"
"tr_fp_wh_10_10","80","Withholding 10/10","","base.tr","Tevkifat 10/10"
