id,name,html_type,data_type,default
file_select_binary,"File Select",file_select,binary,1
textbox_char,"Textbox",textbox,char,1
textbox_integer,"Textbox Integer",textbox,integer,1
textbox_float,"Textbox Float",textbox,float,1
textarea_text,"Textarea",textarea,text,1
dropbox_selection,"Dropbox(Selection)",dropbox,selection,1
dropbox_many2one,"Dropbox(Many2one)",dropbox,many2one,1
checkbox_boolean,"Checkbox(Boolean)",checkbox_boolean,boolean,1
radio_group_selection,"Radio Group(Selection)",radio_group_selection,selection,0
textbox_date,"Date Picker",date_picker,date,1
textbox_datetime,"Datetime Picker",datetime_picker,datetime,1
input_group,"Input Group","input_group",one2many,1
checkbox_group,"Checkbox Group","checkbox_group",many2many,1
phone_char,"Textbox Phone","textbox",phone,1
