"id","sequence","name","auto_apply","country_id","account_ids/account_src_id","account_ids/account_dest_id", "name@mk"
"l10n_mk_fiscal_position_domestic","10","Domestic","1","base.mk","","","Домашни"
"l10n_mk_fiscal_position_foreign","20","Foreign","1","","","","Странски"
"","","","","","l10n_mk_account_730","l10n_mk_account_731",""
"","","","","","l10n_mk_account_740","l10n_mk_account_742",""
"","","","","","l10n_mk_account_741","l10n_mk_account_742",""
