"id","name","country_id","name@bg"
"tax_group_vat_20","20% VAT","base.bg","20% ДДС"
"tax_group_vat_9","9% VAT","base.bg","9% ДДС"
"tax_group_vat_0","0% VAT","base.bg","0% ДДС"
