"id","method","method_number","method_period","salvage_value_percent"
"asset_240_months_linear","linear","240","1","0.05"
"asset_120_months_linear","linear","120","1","0.05"
"asset_48_months_linear","linear","48","1","0.05"
"asset_36_months_linear","linear","36","1","0.05"
"asset_60_months_linear","linear","60","1","0.05"
