"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"syscebnl_tva_sale_18","18%","","","18.0","percent","sale","syscebnl_tax_group_18","base","invoice","","base_18","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_18","","","","",""
"","","","","","","","","base","refund","","base_18","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_18","","","","",""
"syscebnl_tva_purchase_18","18%","","","18.0","percent","purchase","syscebnl_tax_group_18","base","invoice","","purc_base","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","purc_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_sale_5","5%","","","5.0","percent","sale","syscebnl_tax_group_5","base","invoice","","base_5","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_5","","","","",""
"","","","","","","","","base","refund","","base_5","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_5","","","","",""
"syscebnl_tva_purchase_5","5%","","","5.0","percent","purchase","syscebnl_tax_group_5","base","invoice","","purc_base","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","purc_base","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","export","","","0% (exportation)","syscebnl_fiscal_position_template_2","syscebnl_tva_sale_5,syscebnl_tva_sale_18"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","export","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_import_18","18% EX","18% (import)","","18.0","","purchase","syscebnl_tax_group_18","base","invoice","","base_18_rc||purc_base","","","18% (importation)","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_18"
"","","","","","","","","tax","invoice","syscebnl_443","tax_18","-100","","","",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","base_18_rc","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_18","-100","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_self_delivery_18","18% SD","18% (self delivery)","False","18.0","","purchase","syscebnl_tax_group_18","base","invoice","","base_lasm_18||purc_base","","18% LASM","18% (livraison à soi-même)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_lasm_18","-100","","","",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","base_lasm_18","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_lasm_18","-100","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_self_delivery_5","5% SD","5% (self delivery)","False","5.0","","purchase","syscebnl_tax_group_5","base","invoice","","base_lasm_5||purc_base","","5% LASM","5% (livraison à soi-même)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_lasm_5","-100","","","",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","base_lasm_5","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_lasm_5","-100","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_import_5","5% EX","5% (import)","","5.0","","purchase","syscebnl_tax_group_5","base","invoice","","base_5_rc||purc_base","","","5% (importation)","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_5"
"","","","","","","","","tax","invoice","syscebnl_443","tax_5","-100","","","",""
"","","","","","","","","tax","invoice","syscebnl_445","purc_tax","","","","",""
"","","","","","","","","base","refund","","base_5_rc","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_5","-100","","","",""
"","","","","","","","","tax","refund","syscebnl_445","purc_tax","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","sale_exempt","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","sale_exempt","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","","0% (exonéré)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
