id,name,type,description
intrastat_category_2014_01012100,01012100,good,Pure-bred breeding horses
intrastat_category_2014_01012910,01012910,good,Horses for slaughter
intrastat_category_2014_01012990,01012990,good,"Live horses (excl. for slaughter, pure-bred for breeding)"
intrastat_category_2014_01013000,01013000,good,Live asses
intrastat_category_2014_01019000,01019000,good,Live mules and hinnies
intrastat_category_2014_01022110,01022110,good,"Pure-bred breeding heifers ""female bovines that have never calved"""
intrastat_category_2014_01022130,01022130,good,Pure-bred breeding cows (excl. heifers)
intrastat_category_2014_01022190,01022190,good,Pure-bred cattle for breeding (excl. heifers and cows)
intrastat_category_2014_01022905,01022905,good,Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)
intrastat_category_2014_01022910,01022910,good,Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)
intrastat_category_2014_01022921,01022921,good,"Cattle of a weight > 80 kg but <= 160 kg, for slaughter"
intrastat_category_2014_01022929,01022929,good,"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)"
intrastat_category_2014_01022941,01022941,good,"Cattle of a weight > 160 kg but <= 300 kg, for slaughter"
intrastat_category_2014_01022949,01022949,good,"Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)"
intrastat_category_2014_01022951,01022951,good,"Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter"
intrastat_category_2014_01022959,01022959,good,"Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)"
intrastat_category_2014_01022961,01022961,good,"Cows of a weight > 300 kg, for slaughter (excl. heifers)"
intrastat_category_2014_01022969,01022969,good,Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)
intrastat_category_2014_01022991,01022991,good,"Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)"
intrastat_category_2014_01022999,01022999,good,"Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)"
intrastat_category_2014_01023100,01023100,good,Pure-bred buffalo for breeding
intrastat_category_2014_01023910,01023910,good,Live domestic buffalo (excl. pure-bred for breeding)
intrastat_category_2014_01023990,01023990,good,Live buffalo (excl. domestic species and pure-bred for breeding)
intrastat_category_2014_01029020,01029020,good,Bovine pure-bred breeding animals (excl. cattle and buffalo)
intrastat_category_2014_01029091,01029091,good,Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)
intrastat_category_2014_01029099,01029099,good,"Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)"
intrastat_category_2014_01031000,01031000,good,Pure-bred breeding swine
intrastat_category_2014_01039110,01039110,good,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)"
intrastat_category_2014_01039190,01039190,good,"Live non-domestic swine, weighing < 50 kg"
intrastat_category_2014_01039211,01039211,good,"Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)"
intrastat_category_2014_01039219,01039219,good,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)"
intrastat_category_2014_01039290,01039290,good,"Live non-domestic swine, weighing >= 50 kg"
intrastat_category_2014_01041010,01041010,good,Pure-bred sheep for breeding
intrastat_category_2014_01041030,01041030,good,"Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)"
intrastat_category_2014_01041080,01041080,good,Live sheep (excl. lambs and pure-bred breeding animals)
intrastat_category_2014_01042010,01042010,good,Pure-bred breeding goats
intrastat_category_2014_01042090,01042090,good,Live goats (excl. pure-bred for breeding)
