id,name,code
code_1,Transazioni che comportano un trasferimento effettivo o previsto di proprietà contro compensazione(finanziaria o altra),1
code_2,Rispedizione di merci dopo la registrazione della transazione originaria sotto il codice 1 (4) sostituzione di merci a titolo gratuito (4),2
code_3,Transazioni (non temporanee) che comportano un trasferimento di proprietà senza compensazione (finanziaria o altra) ,3
code_4,Operazioni in vista di una lavorazione per conto terzi (5) o di una riparazione (6) (ad eccezione delle operazioni da registrare sotto il codice 7) ,4
code_5,Operazioni successive ad una lavorazione per conto terzi (5) o ad una riparazione (6) (ad eccezione delle operazioni da registrare sotto il codice 7),5
code_6,"Transazioni senza trasferimento di proprieta, quali locazione, prestito, leasing operativo (7) ed altri usi temporanei (8), ad eccezione delle lavorazioni per conto terzi e delle riparazioni (consegna e rispedizione)",6
code_7,Operazioni nel quadro di programmi di difesa comuni o di altri programmi intergovernativi di produzione coordinata (per esempio: Airbus),7
code_8,Fornitura di materiali e attrezzature nel quadro di lavori di costruzione o di installazione facenti parte di un contratto generale (9) ,8
code_9,Altre transazioni,9
