id,name,code
1, trasporto via mare,1
2, trasporto per ferrovia,2
3, trasporto su strada,3
4, trasporto aereo,4
5, spedizioni postali,5
7, installazione di trasporto fisse,7
8, trasporto per via navigabile interna,8
9, propulsione propria,9
