"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period"
"cl_asset_computer_equipment","account_121120","account_121320","account_410141","Computer Equipment",5,12
"cl_asset_fleet_and_transport_equipment","account_121130","account_121330","account_410141","Fleet and transport equipment",5,12
"cl_asset_land_property","account_150405","account_121330","account_420120","Land Property",20,12
"cl_asset_machinery_and_equipment_in_assembly","account_110730","account_121310","account_420120","Machinery and equipment in assembly",10,12
"cl_asset_machinery_and_equipment","account_110625","account_121310","account_410141","Machinery and equipment",10,12
"cl_asset_office_furniture","account_121110","account_121310","account_410141","Office Furniture",5,12
