"id","name","name@fr"
"tax_group_0","VAT 0%","T.V.A. 0%"
"tax_group_18_9","VAT 18.9%","T.V.A. 18.9%"
"tax_group_09","VAT 0.9%","T.V.A. 0.9%"
"tax_group_18","VAT 18%","T.V.A. 18%"
