"id","sequence","name","auto_apply","vat_required","country_id","country_group_id"
"l10n_cg_domestic_fiscal_position","1","CG Domestic","1","","base.cg",""
"fiscal_position_template_1","1","National","1","","base.cg",""
"fiscal_position_template_2","3","International","1","","",""
