"id","l10n_ke_tax_type_id"
"ST16","l10n_ke_edi_oscu.code_04_B"
"ST8","l10n_ke_edi_oscu.code_04_E"
"ST0","l10n_ke_edi_oscu.code_04_C"
"STEX","l10n_ke_edi_oscu.code_04_A"
"PT16","l10n_ke_edi_oscu.code_04_B"
"PT8","l10n_ke_edi_oscu.code_04_E"
"PT0","l10n_ke_edi_oscu.code_04_C"
"PTEX","l10n_ke_edi_oscu.code_04_A"
"PWT3","l10n_ke_edi_oscu.code_04_D"
"PWT5","l10n_ke_edi_oscu.code_04_D"
"ST0EXPORT","l10n_ke_edi_oscu.code_04_A"
