"id","code","name","internal_type","country_id/id","active","name@es_419"
"document_type_01","01","Internal Operation Electronic Invoice","invoice","base.pa","True","Factura de Operación Interna"
"document_type_02","02","Import Electronic Invoice","invoice","base.pa","False","Factura de Importación"
"document_type_03","03","Export Electronic Invoice","invoice","base.pa","True","Factura de Exportación"
"document_type_04","04","Electronic Credit Note (references one or more E-Invoices)","credit_note","base.pa","True","Nota de Crédito referente a una o varias FE"
"document_type_05","05","Electronic Debit Note (references one or more E-Invoices)","debit_note","base.pa","True","Nota de Débito referente a una o varias FE"
"document_type_06","06","Generic Electronic Credit Note","credit_note","base.pa","True","Nota de Crédito Genérica"
"document_type_07","07","Generic Electronic Debit Note","debit_note","base.pa","True","Nota de Débito Genérica"
"document_type_08","08","Free Zone Electronic Invoice","invoice","base.pa","False","Factura de Zona Franca"
"document_type_09","09","Reimbursement","invoice","base.pa","False","Reembolso"
