"id","name","type_tax_use","amount","amount_type","invoice_label","invoice_label@ka","description","description@ka","tax_group_id","fiscal_position_ids","is_withholding_tax","l10n_ge_wht_category_ids","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent"
"ge_tax_wh_5_d_d","5% WH D D","purchase","-5","percent","5% Withholding","5% გადახდის წყაროსთან","Deducted Withholding on Payment - Dividends","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — დივიდენდები","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30,l10n_ge_withholding.wht_category_2,l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32,l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34","True","on_invoice","","base","invoice","","1(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
"","","","","","","","","","","","","","","","","base","refund","","1(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","","100"
"ge_tax_wh_4_d_g","4% WH D G","purchase","4","division","4% Withholding","4% გადახდის წყაროსთან","Gross Withholding on Payment - Dividends","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — დივიდენდები","ge_tax_group_wh_4","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_36,l10n_ge_withholding.wht_category_38","False","on_payment","ge_account_331212","base","invoice","","1(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","1(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","1(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","1(T)_W_G","-100"
"ge_tax_wh_5_d_g","5% WH D G","purchase","5","division","5% Withholding","5% გადახდის წყაროსთან","Gross Withholding on Payment - Dividends","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — დივიდენდები","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30,l10n_ge_withholding.wht_category_2,l10n_ge_withholding.wht_category_31,l10n_ge_withholding.wht_category_32,l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34","False","on_payment","ge_account_331212","base","invoice","","1(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","1(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","1(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","1(T)_W_G","-100"
"ge_tax_wh_10_d_g","10% WH D G","purchase","10","division","10% Withholding","10% გადახდის წყაროსთან","Gross Withholding on Payment - Dividends","გადახდის წყაროსთან დაკავებული გადასახადი (ბრუტო) — დივიდენდები","ge_tax_group_wh_10","ge_fiscal_position_domestic,ge_fiscal_position_foreign","False","l10n_ge_withholding.wht_category_37,l10n_ge_withholding.wht_category_39","False","on_payment","ge_account_331212","base","invoice","","1(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","1(T)_W_G","-100"
"","","","","","","","","","","","","","","","","base","refund","","1(B)_W_G","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331211","","100"
"","","","","","","","","","","","","","","","","tax","refund","ge_account_331210","1(T)_W_G","-100"
"ge_tax_wh_5_i_d","5% WH I D","purchase","-5","percent","5% Withholding","5% გადახდის წყაროსთან","Deducted Withholding on Payment - Interest","გადახდის წყაროსთან დაკავებული გადასახადი (გამოქვითვა) — პროცენტები","ge_tax_group_wh_5","ge_fiscal_position_domestic,ge_fiscal_position_foreign","True","l10n_ge_withholding.wht_category_4,l10n_ge_withholding.wht_category_30,l10n_ge_withholding.wht_category_2,l10n_ge_withholding.wht_category_33,l10n_ge_withholding.wht_category_34","True","on_invoice","","base","invoice","","2(B)_W_D","100"
"","","","","","","","","","","","","","","","","tax","invoice","ge_account_331210","","100"
